|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|count_word_text|count_word_sent
28|многочисленым|многочисленым|многочисленым|UNKN|28|2|4|UNKN|||1|1.0
29|просьба|просьбам|просьбам|NOUN|29|2|5||||1|1.0
30|трудящийся|трудящихся|трудящихся|ADJF|30|2|6||||1|1.0
31|поднял|подняли|подняли|VERB|31|2|7||||1|1.0
32|цена|цены|цены|NOUN|32|2|8||||6|1.0
33|на|на|на|PRCL|33|2|9|BADW|||65|1.0
34|хрусталь|хрусталь|хрусталь|NOUN|34|2|10||||1|1.0
35|.|.|.|PNCT|35|2|11|PNCT|||156|1.0
36|добавил|добавил|Добавил|VERB|36|3|1||||1|1.0
37|чертёж|чертежей|чертежей|NOUN|37|3|2||||2|1.0
38|15/7/19|15/7/19|15/7/19|NUSR|38|3|3|NUSR|||1|1.0
39|.|.|.|PNCT|39|3|4|PNCT|||156|1.0
40|ходовой|ходовая|Ходовая|ADJF|40|4|1||||16|1.0
41|в|в|в|NOUN|41|4|2|BADW|||85|1.0
42|вид|виде|виде|NOUN|42|4|3||||4|1.0
43|полный|полного|полного|ADJF|43|4|4||||9|1.0
44|привод|привода|привода|NOUN|44|4|5||||4|1.0
45|на|на|на|PRCL|45|4|6|BADW|||65|1.0
46|колесо|колёса|колёса|NOUN|46|4|7||||11|1.0
47|внутри|внутри|внутри|PREP|47|4|8|BADW|||3|1.0
48|который|которых|которых|ADJF|48|4|9|BADW|||5|1.0
49|спрятан|спрятаны|спрятаны|PRTS|49|4|10||||2|1.0
50|каток|катки|катки|NOUN|50|4|11||||16|1.0
51|от|от|от|PREP|51|4|12|BADW|||18|1.0
52|танк|танка|танка|NOUN|52|4|13|SPEC|||20|1.0
53|не|не|не|PRCL|53|4|14||||39|3.0
54|только|только|только|ADVB|54|4|15|BADW|||3|1.0
55|уже|уже|уже|PRCL|55|4|16|BADW|||6|1.0
56|делаюсь|делаются|делаются|VERB|56|4|17||||2|1.0
57|серийно|серийно|серийно|ADVB|57|4|18|BADW|||2|1.0
58|,|,|,|PNCT|58|4|19|PNCT|||239|3.0
59|они|они|они|NPRO|59|4|20|BADW|||10|1.0
60|вечный|вечные|вечные|ADJF|60|4|21||||4|1.0
61|,|,|,|PNCT|61|4|22|PNCT|||239|3.0
62|гусеница|гусеницу|гусеницу|NOUN|62|4|23|SPEC|||5|1.0
63|не|не|не|PRCL|63|4|24||||39|3.0
64|сбить|сбить|сбить|INFN|64|4|25||||2|1.0
65|,|,|,|PNCT|65|4|26|PNCT|||239|3.0
66|а|а|а|CONJ|66|4|27|BADW|||36|1.0
67|шина|шину|шину|NOUN|67|4|28||||16|1.0
68|не|не|не|PRCL|68|4|29||||39|3.0
69|сдуть|сдуть|сдуть|INFN|69|4|30||||2|1.0
70|.|.|.|PNCT|70|4|31|PNCT|||156|1.0
71|при|при|При|PREP|71|5|1|BADW|||13|1.0
72|это|этом|этом|NPRO|72|5|2|BADW|||6|1.0
73|удвоение|удвоение|удвоение|NOUN|73|5|3||||2|1.0
74|каток|катков|катков|NOUN|74|5|4||||16|1.0
75|по|по|по|PREP|75|5|5|BADW|||39|1.0
76|ширин|ширине|ширине|NOUN|76|5|6||||7|1.0
77|весьма|весьма|весьма|ADVB|77|5|7|BADW|||6|1.0
78|допустим|допустимо|допустимо|ADJS|78|5|8||||2|1.0
79|б3|бмп-3|БМП-3|ABVR|79|5|9|ABVR|||1|1.0
80|,|,|,|PNCT|80|5|10|PNCT|||239|1.0
81|а|а|а|CONJ|81|5|11|BADW|||36|1.0
82|давление|давление|давление|NOUN|82|5|12||||4|1.0
83|на|на|на|PRCL|83|5|13|BADW|||65|1.0
84|грунт|грунт|грунт|NOUN|84|5|14||||4|1.0
85|падаю|падает|падает|VERB|85|5|15||||3|1.0
86|до|до|до|PREP|86|5|16|BADW|||12|1.0
87|низкий|низкого|низкого|ADJF|87|5|17||||2|1.0
88|.|.|.|PNCT|88|5|18|PNCT|||156|1.0
89|руление|руление|Руление|NOUN|89|6|1||||3|1.0
90|через|через|через|PREP|90|6|2|BADW|||4|1.0
91|отключение|отключение|отключение|NOUN|91|6|3||||2|1.0
92|привод|привода|привода|NOUN|92|6|4||||4|1.0
93|побортно|побортно|побортно|UNKN|93|6|5|UNKN|||2|1.0
94|.|.|.|PNCT|94|6|6|PNCT|||156|1.0
95|на|на|На|PRCL|95|7|1|BADW|||65|1.0
96|версия|версию|версию|NOUN|96|7|2||||1|1.0
98|в|в|в|NOUN|97|7|3|BADW|||85|3.0
97|15ч|в 25т и 15 чел|в 25т и 15 чел|NUSR|97|7|3|NUSR|2||2|1.0
99|25т|25т|25т|NUSR|98|7|4|NUSR|||7|1.0
100|и|и|и|PRCL|99|7|5|BADW|||104|4.0
101|15|15|15|NUMB|100|7|6|NUMB|||6|1.0
102|чел|чел|чел|NOUN|101|7|7||||2|1.0
103|,|,|,|PNCT|102|7|8|PNCT|||239|7.0
104|вышел|вышли|вышли|VERB|103|7|9||||7|1.0
105|крыша|крыша|крыша|NOUN|104|7|10||||11|1.0
106|и|и|и|PRCL|105|7|11|BADW|||104|4.0
107|дно|дно|дно|NOUN|106|7|12||||5|1.0
109|по|по|по|PREP|107|7|13|BADW|||39|3.0
108|27м|по 27 мм|по 27 мм|NUSR|107|7|13|NUSR|3||1|1.0
110|27|27|27|NUMB|108|7|14|NUMB|||1|1.0
111|мм|мм|мм|INTJ|109|7|15|BADW|||12|2.0
112|броня|брони|брони|NOUN|110|7|16|SPEC|||28|3.0
113|,|,|,|PNCT|111|7|17|PNCT|||239|7.0
114|борт|борта|борта|NOUN|112|7|18||||11|1.0
116|по|по|по|PREP|113|7|19|BADW|||39|3.0
115|40м|по 40 мм|по 40 мм|NUSR|113|7|19|NUSR|4||3|1.0
117|40|40|40|NUMB|114|7|20|NUMB|||8|1.0
118|мм|мм|мм|INTJ|115|7|21|BADW|||12|2.0
119|,|,|,|PNCT|116|7|22|PNCT|||239|7.0
120|тут|тут|тут|ADVB|117|7|23|BADW|||9|1.0
121|броня|брони|брони|NOUN|118|7|24|SPEC|||28|3.0
122|как|как|как|ADVB|119|7|25|BADW|||19|2.0
123|бы|бы|бы|PRCL|120|7|26|BADW|||2|1.0
125|в|в|в|NOUN|121|7|27|BADW|||85|3.0
124|3р|в 3 раза|в 3 раза|NUSR|121|7|27|NUSR|5||3|1.0
126|3|3|3|NUMB|122|7|28|NUMB|||7|1.0
127|раз|раза|раза|NOUN|123|7|29||||12|1.0
128|больше|больше|больше|ADVB|124|7|30|BADW|||4|1.0
129|по|по|по|PREP|125|7|31|BADW|||39|3.0
130|масса|массе|массе|NOUN|126|7|32||||12|1.0
131|,|,|,|PNCT|127|7|33|PNCT|||239|7.0
132|а|а|а|CONJ|128|7|34|BADW|||36|2.0
133|ещё|ещё|ещё|ADVB|129|7|35|BADW|||17|3.0
134|можно|можно|можно|PRED|130|7|36|BADW|||24|1.0
135|применить|применить|применить|INFN|131|7|37||||3|1.0
136|свшп|свшп|СВШП|UPPR|132|7|38|UPPR|||3|1.0
137|как|как|как|ADVB|133|7|39|BADW|||19|2.0
138|сталь|сталь|сталь|NOUN|134|7|40||||2|1.0
139|и|и|и|PRCL|135|7|41|BADW|||104|4.0
140|тем|тем|тем|CONJ|136|7|42|BADW|||3|1.0
141|получить|получить|получить|INFN|137|7|43||||1|1.0
142|ещё|ещё|ещё|ADVB|138|7|44|BADW|||17|3.0
143|15%|15%|15%|NUSR|139|7|45|NUSR|||4|1.0
144|а|а|а|CONJ|140|7|46|BADW|||36|2.0
145|,|,|,|PNCT|141|7|47|PNCT|||239|7.0
146|тонкий|тонкие|тонкие|ADJF|142|7|48||||1|1.0
147|часть|части|части|NOUN|143|7|49||||6|1.0
148|в|в|в|NOUN|144|7|50|BADW|||85|3.0
149|вид|виде|виде|NOUN|145|7|51||||4|1.0
150|накладка|накладок|накладок|NOUN|146|7|52||||1|1.0
151|сделать|сделать|сделать|INFN|147|7|53||||6|1.0
152|из|из|из|PREP|148|7|54|BADW|||8|1.0
153|титан|титана|титана|NOUN|149|7|55||||3|2.0
154|,|,|,|PNCT|150|7|56|PNCT|||239|7.0
155|ещё|ещё|ещё|ADVB|151|7|57|BADW|||17|3.0
156|10%|10%|10%|NUSR|152|7|58|NUSR|||2|1.0
157|и|и|и|PRCL|153|7|59|BADW|||104|4.0
158|более|более|более|ADVB|154|7|60|BADW|||5|1.0
159|,|,|,|PNCT|155|7|61|PNCT|||239|7.0
160|причём|причём|причём|CONJ|156|7|62|BADW|||3|1.0
161|титан|титан|титан|NOUN|157|7|63||||3|2.0
162|за|за|за|PREP|158|7|64|BADW|||5|1.0
163|лист|лист|лист|NOUN|159|7|65||||4|1.0
164|дешевее|дешевле|дешевле|COMP|160|7|66||||3|1.0
165|листовой|листовой|листовой|ADJF|161|7|67||||3|1.0
166|качественный|качественной|качественной|ADJF|162|7|68||||1|1.0
167|броня|брони|брони|NOUN|163|7|69|SPEC|||28|3.0
168|.|.|.|PNCT|164|7|70|PNCT|||156|1.0
169|спойлер|спойлер|Спойлер|NOUN|165|8|1||||1|1.0
170|,|,|,|PNCT|166|8|2|PNCT|||239|2.0
171|до|до|до|PREP|167|8|3|BADW|||12|1.0
172|это|этого|этого|NPRO|168|8|4|BADW|||6|1.0
173|не|не|не|PRCL|169|8|5||||39|1.0
174|дошёл|дошло|дошло|VERB|170|8|6||||1|1.0
175|,|,|,|PNCT|171|8|7|PNCT|||239|2.0
176|но|но|но|INTJ|172|8|8|BADW|||13|1.0
177|всё|всё|всё|PRCL|173|8|9|BADW|||9|1.0
178|поехал|поехало|поехало|VERB|174|8|10||||1|1.0
179|.|.|.|PNCT|175|8|11|PNCT|||156|1.0
180|кто|кому|Кому|NPRO|176|9|1|BADW|||2|1.0
181|скучно|скучно|скучно|ADVB|177|9|2|BADW|||1|1.0
182|подтверждение|подтверждение|подтверждение|NOUN|178|9|3||||3|1.0
183|ходовой|ходовой|ходовой|ADJF|179|9|4||||16|1.0
184|читать|читать|читать|INFN|180|9|5||||1|1.0
185|,|,|,|PNCT|181|9|6|PNCT|||239|1.0
186|могу|можете|можете|VERB|182|9|7||||3|1.0
187|сразу|сразу|сразу|ADVB|183|9|8|BADW|||2|1.0
188|листать|листать|листать|INFN|184|9|9||||1|1.0
189|на|на|на|PRCL|185|9|10|BADW|||65|1.0
190|глава|главу|главу|NOUN|186|9|11||||3|1.0
191|2|2|2|NUMB|187|9|12|NUMB|||15|1.0
192|.|.|.|PNCT|188|9|13|PNCT|||156|1.0
193|ходовой|ходовая|Ходовая|ADJF|189|10|1||||16|1.0
194|в|в|в|NOUN|190|10|2|BADW|||85|1.0
195|вид|виде|виде|NOUN|191|10|3||||4|1.0
196|полный|полного|полного|ADJF|192|10|4||||9|1.0
197|привод|привода|привода|NOUN|193|10|5||||4|1.0
198|на|на|на|PRCL|194|10|6|BADW|||65|1.0
199|колесо|колёса|колёса|NOUN|195|10|7||||11|1.0
200|внутри|внутри|внутри|PREP|196|10|8|BADW|||3|1.0
201|который|которых|которых|ADJF|197|10|9|BADW|||5|1.0
202|спрятан|спрятаны|спрятаны|PRTS|198|10|10||||2|1.0
203|каток|катки|катки|NOUN|199|10|11||||16|1.0
204|от|от|от|PREP|200|10|12|BADW|||18|1.0
205|танк|танка|танка|NOUN|201|10|13|SPEC|||20|1.0
206|не|не|не|PRCL|202|10|14||||39|3.0
207|только|только|только|ADVB|203|10|15|BADW|||3|1.0
208|уже|уже|уже|PRCL|204|10|16|BADW|||6|1.0
209|делаюсь|делаются|делаются|VERB|205|10|17||||2|1.0
210|серийно|серийно|серийно|ADVB|206|10|18|BADW|||2|1.0
211|,|,|,|PNCT|207|10|19|PNCT|||239|3.0
212|они|они|они|NPRO|208|10|20|BADW|||10|1.0
213|вечный|вечные|вечные|ADJF|209|10|21||||4|1.0
214|,|,|,|PNCT|210|10|22|PNCT|||239|3.0
215|гусеница|гусеницу|гусеницу|NOUN|211|10|23|SPEC|||5|1.0
216|не|не|не|PRCL|212|10|24||||39|3.0
217|сбить|сбить|сбить|INFN|213|10|25||||2|1.0
218|,|,|,|PNCT|214|10|26|PNCT|||239|3.0
219|а|а|а|CONJ|215|10|27|BADW|||36|1.0
220|шина|шину|шину|NOUN|216|10|28||||16|1.0
221|не|не|не|PRCL|217|10|29||||39|3.0
222|сдуть|сдуть|сдуть|INFN|218|10|30||||2|1.0
223|.|.|.|PNCT|219|10|31|PNCT|||156|1.0
224|при|при|При|PREP|220|11|1|BADW|||13|1.0
225|это|этом|этом|NPRO|221|11|2|BADW|||6|1.0
226|удвоение|удвоение|удвоение|NOUN|222|11|3||||2|1.0
227|каток|катков|катков|NOUN|223|11|4||||16|1.0
228|по|по|по|PREP|224|11|5|BADW|||39|1.0
229|ширин|ширине|ширине|NOUN|225|11|6||||7|1.0
230|весьма|весьма|весьма|ADVB|226|11|7|BADW|||6|1.0
231|допустим|допустимо|допустимо|ADJS|227|11|8||||2|1.0
232|бмп3|бмп3|БМП3|ABVR|228|11|9|ABVR|||1|1.0
233|,|,|,|PNCT|229|11|10|PNCT|||239|1.0
234|а|а|а|CONJ|230|11|11|BADW|||36|1.0
235|давление|давление|давление|NOUN|231|11|12||||4|1.0
236|на|на|на|PRCL|232|11|13|BADW|||65|1.0
237|грунт|грунт|грунт|NOUN|233|11|14||||4|1.0
238|падаю|падает|падает|VERB|234|11|15||||3|1.0
239|до|до|до|PREP|235|11|16|BADW|||12|1.0
240|низкий|низкого|низкого|ADJF|236|11|17||||2|1.0
241|.|.|.|PNCT|237|11|18|PNCT|||156|1.0
242|руление|руление|Руление|NOUN|238|12|1||||3|1.0
243|через|через|через|PREP|239|12|2|BADW|||4|1.0
244|отключение|отключение|отключение|NOUN|240|12|3||||2|1.0
245|привод|привода|привода|NOUN|241|12|4||||4|1.0
246|побортно|побортно|побортно|UNKN|242|12|5|UNKN|||2|1.0
247|.|.|.|PNCT|243|12|6|PNCT|||156|1.0
248|слайд|слайды|Слайды|NOUN|244|13|1||||1|1.0
249|.|.|.|PNCT|245|13|2|PNCT|||156|1.0
250|вот|вот|Вот|PRCL|246|14|1|BADW|||8|1.0
251|такой|таких|таких|ADJF|247|14|2|BADW|||7|1.0
252|каток|катков|катков|NOUN|248|14|3||||16|1.0
253|6о|6 осей|6 осей|NUSR|249|14|4|NUSR|6||1|1.0
254|6|6|6|NUMB|249|14|4|NUMB|||2|1.0
255|ося|осей|осей|NOUN|250|14|5||||4|1.0
256|можно|можно|можно|PRED|251|14|6|BADW|||24|1.0
257|24ш|24 штуки|24 штуки|NUSR|252|14|7|NUSR|7||1|1.0
258|24|24|24|NUMB|252|14|7|NUMB|||1|1.0
259|штука|штуки|штуки|NOUN|253|14|8||||2|1.0
260|.|.|.|PNCT|254|14|9|PNCT|||156|1.0
261|ширина|ширина|Ширина|NOUN|255|15|1||||7|1.0
262|бмп-3|бмп-3|БМП-3|DSNU|256|15|2|DSNU|||3|1.0
263|,|,|,|PNCT|257|15|3|PNCT|||239|1.0
264|3,14м|3,14 метра|3,14 метра|NUSR|258|15|4|NUSR|8||1|1.0
265|3,14|3,14|3,14|NUSR|258|15|4|NUSR|||1|1.0
266|метр|метра|метра|NOUN|259|15|5||||15|1.0
267|.|.|.|PNCT|260|15|6|PNCT|||156|1.0
268|а|а|А|CONJ|261|16|1|BADW|||36|2.0
269|сделать|сделать|сделать|INFN|262|16|2||||6|1.0
270|над|надо|надо|PREP|263|16|3|BADW|||8|1.0
271|менее|менее|менее|ADVB|264|16|4|BADW|||4|1.0
273|2|2|2|NUMB|265|16|5|NUMB|||15|1.0
272|2т|2 т|2 т|NUSR|265|16|5|NUSR|9||6|1.0
274|т|т|т|NOUN|266|16|6|BADW|||8|1.0
275|,|,|,|PNCT|267|16|7|PNCT|||239|3.0
276|на|на|на|PRCL|268|16|8|BADW|||65|1.0
277|колесо|колесо|колесо|NOUN|269|16|9||||11|1.0
278|,|,|,|PNCT|270|16|10|PNCT|||239|3.0
279|чтобы|чтобы|чтобы|PRCL|271|16|11|BADW|||7|1.0
280|езжу|ездило|ездило|VERB|272|16|12||||1|1.0
281|,|,|,|PNCT|273|16|13|PNCT|||239|3.0
282|а|а|а|CONJ|274|16|14|BADW|||36|2.0
283|не|не|не|PRCL|275|16|15||||39|1.0
284|вид|вид|вид|NOUN|276|16|16||||4|1.0
285|делаю|делало|делало|VERB|277|16|17||||3|1.0
286|.|.|.|PNCT|278|16|18|PNCT|||156|1.0
287|ширина|ширина|Ширина|NOUN|279|17|1||||7|2.0
288|шина|шин|шин|NOUN|280|17|2||||16|1.0
289|менее|менее|менее|ADVB|281|17|3|BADW|||4|1.0
290|полметра|полуметра|полуметра|NOUN|282|17|4||||4|2.0
291|не|не|не|PRCL|283|17|5||||39|1.0
292|,|,|,|PNCT|284|17|6|PNCT|||239|3.0
293|у|у|у|INTJ|285|17|7|BADW|||18|1.0
294|танк|танка|танка|NOUN|286|17|8|SPEC|||20|1.0
295|каток|каток|каток|NOUN|287|17|9||||16|1.0
296|ширина|шириной|шириной|NOUN|288|17|10||||7|2.0
297|более|более|более|ADVB|289|17|11|BADW|||5|1.0
298|полметра|полуметра|полуметра|NOUN|290|17|12||||4|2.0
299|,|,|,|PNCT|291|17|13|PNCT|||239|3.0
300|однако|однако|однако|CONJ|292|17|14|BADW|||5|1.0
301|для|для|для|PREP|293|17|15|BADW|||5|1.0
302|давление|давления|давления|NOUN|294|17|16||||4|1.0
303|на|на|на|PRCL|295|17|17|BADW|||65|1.0
304|грунт|грунт|грунт|NOUN|296|17|18||||4|1.0
306|в|в|в|NOUN|297|17|19|BADW|||85|1.0
305|2т|в 2 тонны|в 2 тонны|NUSR|297|17|19|NUSR|10||6|1.0
307|2|2|2|NUMB|298|17|20|NUMB|||15|1.0
308|тонна|тонны|тонны|NOUN|299|17|21||||18|1.0
309|над|надо|надо|PREP|300|17|22|BADW|||8|1.0
310|что|что|что|PRCL|301|17|23|BADW|||25|1.0
311|тот|то|то|ADJF|302|17|24|BADW|||22|1.0
312|решать|решать|решать|INFN|303|17|25||||1|1.0
313|,|,|,|PNCT|304|17|26|PNCT|||239|3.0
314|иначе|иначе|иначе|CONJ|305|17|27|BADW|||1|1.0
315|всё|всё|всё|PRCL|306|17|28|BADW|||9|1.0
316|зря|зря|зря|ADVB|307|17|29|BADW|||1|1.0
317|.|.|.|PNCT|308|17|30|PNCT|||156|1.0
318|вот|вот|Вот|PRCL|309|18|1|BADW|||8|1.0
319|8*4|8*4|8*4|NUSR|310|18|2|NUSR|||1|1.0
320|на|на|на|PRCL|311|18|3|BADW|||65|1.0
321|50т|50т|50т|NUSR|312|18|4|NUSR|||2|1.0
322|.|.|.|PNCT|313|18|5|PNCT|||156|1.0
323|пусть|пусть|Пусть|PRCL|314|19|1|BADW|||5|1.0
324|10*4|10*4|10*4|NUSR|315|19|2|NUSR|||1|1.0
325|но|но|но|INTJ|316|19|3|BADW|||13|1.0
326|этот|это|это|ADJF|317|19|4|BADW|||50|1.0
327|5т|5 тонн|5 тонн|NUSR|318|19|5|NUSR|11||2|1.0
328|5|5|5|NUMB|318|19|5|NUMB|||3|1.0
329|тонна|тонн|тонн|NOUN|319|19|6||||18|1.0
330|на|на|на|PRCL|320|19|7|BADW|||65|1.0
331|колесо|колесо|колесо|NOUN|321|19|8||||11|1.0
332|.|.|.|PNCT|322|19|9|PNCT|||156|1.0
333|диаметр|диаметр|Диаметр|NOUN|323|20|1||||4|1.0
334|шина|шины|шины|NOUN|324|20|2||||16|1.0
335|1,2м|1,2 метра|1,2 метра|NUSR|325|20|3|NUSR|12||1|1.0
336|1,2|1,2|1,2|NUSR|325|20|3|NUSR|||2|1.0
337|метр|метра|метра|NOUN|326|20|4||||15|2.0
338|,|,|,|PNCT|327|20|5|PNCT|||239|1.0
339|ширина|ширина|ширина|NOUN|328|20|6||||7|1.0
340|спарки|спарки|спарки|UNKN|329|20|7|UNKN|||1|1.0
341|пусть|пусть|пусть|PRCL|330|20|8|BADW|||5|1.0
342|0,65м|0,65 метра|0,65 метра|NUSR|331|20|9|NUSR|13||1|1.0
343|0,65|0,65|0,65|NUSR|331|20|9|NUSR|||1|1.0
344|метр|метра|метра|NOUN|332|20|10||||15|2.0
345|.|.|.|PNCT|333|20|11|PNCT|||156|1.0
346|тот|то|То|ADJF|334|21|1|BADW|||22|1.0
347|есть|есть|есть|VERB|335|21|2|BADW|||34|1.0
348|вышел|выйдет|выйдет|VERB|336|21|3||||7|1.0
349|полный|полная|полная|ADJF|337|21|4||||9|1.0
350|ширина|ширина|ширина|NOUN|338|21|5||||7|1.0
351|3,3м|3,3 метра|3,3 метра|NUSR|339|21|6|NUSR|14||1|1.0
352|3,3|3,3|3,3|NUSR|339|21|6|NUSR|||1|1.0
353|метр|метра|метра|NOUN|340|21|7||||15|1.0
354|без|без|без|PREP|341|21|8|BADW|||2|1.0
355|толщина|толщины|толщины|NOUN|342|21|9||||3|1.0
356|броня|брони|брони|NOUN|343|21|10|SPEC|||28|1.0
357|.|.|.|PNCT|344|21|11|PNCT|||156|1.0
358|если|если|Если|CONJ|345|22|1|BADW|||10|1.0
359|страмбовать|страмбовать|страмбовать|UNKN|346|22|2|UNKN|||1|1.0
360|вышел|выйдет|выйдет|VERB|347|22|3||||7|1.0
361|24*6|24*6|24*6|NUSR|348|22|4|NUSR|||1|1.0
362|и|и|и|PRCL|349|22|5|BADW|||104|1.0
363|длинен|длинна|длинна|ADJS|350|22|6||||2|1.0
364|от|от|от|PREP|351|22|7|BADW|||18|1.0
365|край|края|края|NOUN|352|22|8||||3|2.0
366|до|до|до|PREP|353|22|9|BADW|||12|1.0
367|край|края|края|NOUN|354|22|10||||3|2.0
368|колесо|колеса|колеса|NOUN|355|22|11||||11|2.0
369|8,3м|8,3 метра|8,3 метра|NUSR|356|22|12|NUSR|15||1|1.0
370|8,3|8,3|8,3|NUSR|356|22|12|NUSR|||1|1.0
371|метр|метра|метра|NOUN|357|22|13||||15|1.0
372|,|,|,|PNCT|358|22|14|PNCT|||239|4.0
373|остаюсь|остаётся|Остаётся|VERB|359|22|15|TITL|||1|1.0
374|один|одно|одно|ADJF|360|22|16||||5|1.0
375|решение|решение|решение|NOUN|361|22|17||||2|1.0
376|,|,|,|PNCT|362|22|18|PNCT|||239|4.0
377|уменьшить|уменьшить|уменьшить|INFN|363|22|19||||1|1.0
378|диаметр|диаметр|диаметр|NOUN|364|22|20||||4|1.0
379|колесо|колеса|колеса|NOUN|365|22|21||||11|2.0
380|,|,|,|PNCT|366|22|22|PNCT|||239|4.0
381|пока|пока|пока|INTJ|367|22|23|BADW|||3|1.0
382|что|что|что|PRCL|368|22|24|BADW|||25|1.0
383|нагрузка|нагрузка|нагрузка|NOUN|369|22|25||||1|1.0
384|разрешаемый|разрешаемая|разрешаемая|PRTF|370|22|26||||1|1.0
385|на|на|на|PRCL|371|22|27|BADW|||65|1.0
386|шина|шину|шину|NOUN|372|22|28||||16|1.0
387|4т|4т|4т|NUSR|373|22|29|NUSR|||1|1.0
388|,|,|,|PNCT|374|22|30|PNCT|||239|4.0
389|при|при|при|PREP|375|22|31|BADW|||13|1.0
390|фактический|фактической|фактической|ADJF|376|22|32||||1|1.0
391|2т|2т|2т|NUSR|377|22|33|NUSR|||6|1.0
392|.|.|.|PNCT|378|22|34|PNCT|||156|1.0
393|сделал|сделаем|Сделаем|VERB|379|23|1||||2|1.0
394|28*7|28*7|28*7|NUSR|380|23|2|NUSR|||3|3.0
395|,|,|,|PNCT|381|23|3|PNCT|||239|1.0
396|у|у|у|INTJ|382|23|4|BADW|||18|1.0
397|танк|танка|танка|NOUN|383|23|5|SPEC|||20|1.0
398|при|при|при|PREP|384|23|6|BADW|||13|1.0
399|7к|7 катковой|7 катковой|NUSR|385|23|7|NUSR|16||2|1.0
400|7|7|7|NUMB|385|23|7|NUMB|||6|1.0
401|катковый|катковой|катковой|ADJF|386|23|8||||1|1.0
402|и|и|и|PRCL|387|23|9|BADW|||104|2.0
403|фактически|фактически|фактически|CONJ|388|23|10|BADW|||1|1.0
404|двойной|двойной|двойной|ADJF|389|23|11||||1|1.0
405|ширин|ширине|ширине|NOUN|390|23|12||||7|2.0
406|каток|катка|катка|NOUN|391|23|13||||16|1.0
407|относительно|относительно|относительно|PREP|392|23|14|BADW|||1|1.0
408|ширин|ширины|ширины|NOUN|393|23|15||||7|2.0
409|шина|шины|шины|NOUN|394|23|16||||16|1.0
410|28*7|и есть 28*7|и есть 28*7|NUSR|395|23|17|NUSR|17||3|3.0
411|и|и|и|PRCL|395|23|17|BADW|||104|2.0
412|есть|есть|есть|VERB|396|23|18|BADW|||34|1.0
413|28*7|28*7|28*7|NUSR|397|23|19|NUSR|||3|3.0
414|.|.|.|PNCT|398|23|20|PNCT|||156|1.0
415|этот|это|Это|ADJF|399|24|1|BADW|||50|1.0
416|1,78т|1,78 т|1,78 т|NUSR|400|24|2|NUSR|18||1|1.0
417|1,78|1,78|1,78|NUSR|400|24|2|NUSR|||1|1.0
418|т|т|т|NOUN|401|24|3|BADW|||8|1.0
419|на|на|на|PRCL|402|24|4|BADW|||65|1.0
420|каток|каток|каток|NOUN|403|24|5||||16|1.0
421|.|.|.|PNCT|404|24|6|PNCT|||156|1.0
422|диаметр|диаметр|Диаметр|NOUN|405|25|1||||4|1.0
423|каток|катков|катков|NOUN|406|25|2||||16|1.0
424|у|у|у|INTJ|407|25|3|BADW|||18|1.0
425|танк|танка|танка|NOUN|408|25|4|SPEC|||20|2.0
426|750-630|750-630|750-630|NUSR|409|25|5|NUSR|||1|1.0
427|,|,|,|PNCT|410|25|6|PNCT|||239|1.0
428|бывает|бывает|бывает|CONJ|411|25|7|BADW|||1|1.0
