|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|count_word_text|count_word_sent
143|отпал|отпал|отпал|VERB|143|9|2||||1|1.0
144|после|после|после|ADVB|144|9|3|BADW|||1|1.0
145|токенизации|токенизации|токенизации|UNKN|145|9|4|UNKN|||2|1.0
146|предложение|предложений|предложений|NOUN|146|9|5||||1|1.0
147|первый|первых|первых|ADJF|147|9|6||||1|1.0
148|же|же|же|PRCL|148|9|7|BADW|||2|1.0
149|три|трех|трех|NUMR|149|9|8||||1|1.0
150|текст|текстов|текстов|NOUN|150|9|9||||5|1.0
151|на|на|на|PRCL|151|9|10|BADW|||6|1.0
152|русский|русском|русском|ADJF|152|9|11||||5|1.0
153|язык|языке|языке|NOUN|153|9|12||||5|1.0
154|.|.|.|PNCT|154|9|13|PNCT|||20|1.0
155|pymorhy2|pymorhy2|pymorhy2|LATN|155|10|1|LATN|||4|1.0
156|я|мне|мне|NPRO|156|10|2|BADW|||8|1.0
157|понравился|понравился|понравился|VERB|157|10|3||||1|1.0
158|.|.|.|PNCT|158|10|4|PNCT|||20|1.0
159|но|но|НО|INTJ|159|11|1|BADW|||6|1.0
160|,|,|,|PNCT|160|11|2|PNCT|||41|4.0
161|он|он|он|NPRO|161|11|3|BADW|||1|1.0
162|решаю|решает|решает|VERB|162|11|4||||2|1.0
163|задача|задачи|задачи|NOUN|163|11|5||||8|2.0
164|морфология|морфологии|морфологии|NOUN|164|11|6||||1|1.0
165|,|,|,|PNCT|165|11|7|PNCT|||41|4.0
166|а|а|а|CONJ|166|11|8|BADW|||3|3.0
167|мой|моя|моя|ADJF|167|11|9|BADW|||3|1.0
168|задача|задача|задача|NOUN|168|11|10||||8|2.0
169|есть|была|была|VERB|169|11|11|BADW|||2|1.0
170|выявление|выявление|выявление|NOUN|170|11|12||||2|1.0
171|ключевой|ключевых|ключевых|ADJF|171|11|13||||5|2.0
172|слово|слов|слов|NOUN|172|11|14||||4|2.0
173|до|до|до|PREP|173|11|15|BADW|||2|1.0
174|анализ|анализа|анализа|NOUN|174|11|16||||5|1.0
175|,|,|,|PNCT|175|11|17|PNCT|||41|4.0
176|а|а|а|CONJ|176|11|18|BADW|||3|3.0
177|позднее|позже|позже|COMP|177|11|19||||1|1.0
178|уже|уже|уже|PRCL|178|11|20|BADW|||2|1.0
179|и|и|и|PRCL|179|11|21|BADW|||13|1.0
180|не|не|не|PRCL|180|11|22||||4|1.0
181|слово|слов|слов|NOUN|181|11|23||||4|2.0
182|,|,|,|PNCT|182|11|24|PNCT|||41|4.0
183|а|а|а|CONJ|183|11|25|BADW|||3|3.0
184|ключевой|ключевых|ключевых|ADJF|184|11|26||||5|2.0
185|выражение|выражений|выражений|NOUN|185|11|27||||2|1.0
186|.|.|.|PNCT|186|11|28|PNCT|||20|1.0
187|многие|многие|Многие|NPRO|187|12|1|BADW|||1|1.0
188|слово|слова|слова|NOUN|188|12|2||||4|1.0
189|,|,|,|PNCT|189|12|3|PNCT|||41|5.0
190|из|из|из|PREP|190|12|4|BADW|||1|1.0
191|признанный|признанных|признанных|ADJF|191|12|5||||1|1.0
192|я|мной|мной|NPRO|192|12|6|BADW|||8|1.0
193|ключ|ключами|ключами|NOUN|193|12|7||||2|1.0
194|получил|получат|получат|VERB|194|12|8||||1|1.0
195|в|в|в|NOUN|195|12|9|BADW|||8|1.0
196|pymorhy2|pymorhy2|Pymorhy2|LATN|196|12|10|LATN|||4|1.0
197|дополнительный|дополнительную|дополнительную|ADJF|197|12|11||||1|1.0
198|гарммему|гарммему|гарммему|UNKN|198|12|12|UNKN|||1|1.0
199|unkn|unkn|UNKN|LATN|199|12|13|LATN|||2|1.0
200|,|,|,|PNCT|200|12|14|PNCT|||41|5.0
201|токен|токен|токен|UNKN|201|12|15|UNKN|||1|1.0
202|неидентифицирован|неидентифицирован|неидентифицирован|UNKN|202|12|16|UNKN|||1|1.0
203|,|,|,|PNCT|203|12|17|PNCT|||41|5.0
204|и|и|и|PRCL|204|12|18|BADW|||13|1.0
205|этот|это|это|ADJF|205|12|19|BADW|||8|1.0
206|,|,|,|PNCT|206|12|20|PNCT|||41|5.0
207|для|для|для|PREP|207|12|21|BADW|||4|1.0
208|решаемый|решаемой|решаемой|PRTF|208|12|22||||1|1.0
209|pymorhy|pymorhy|pymorhy|LATN|209|12|23|LATN|||1|1.0
210|задача|задачи|задачи|NOUN|210|12|24||||8|1.0
211|,|,|,|PNCT|211|12|25|PNCT|||41|5.0
212|абсолютно|абсолютно|абсолютно|ADVB|212|12|26|BADW|||1|1.0
213|верный|верный|верный|ADJF|213|12|27||||1|1.0
214|вывод|вывод|вывод|NOUN|214|12|28||||1|1.0
215|.|.|.|PNCT|215|12|29|PNCT|||20|1.0
216|но|но|Но|INTJ|216|13|1|BADW|||6|1.0
217|для|для|для|PREP|217|13|2|BADW|||4|2.0
218|мой|моей|моей|ADJF|218|13|3|BADW|||3|1.0
219|задача|задачи|задачи|NOUN|219|13|4||||8|1.0
220|,|,|,|PNCT|220|13|5|PNCT|||41|3.0
221|миг-29|миг-29|МиГ-29|DSNU|221|13|6|DSNU|||1|1.0
222|не|не|не|PRCL|222|13|7||||4|1.0
223|unkn|unkn|UNKN|LATN|223|13|8|LATN|||2|1.0
224|,|,|,|PNCT|224|13|9|PNCT|||41|3.0
225|этот|это|это|ADJF|225|13|10|BADW|||8|1.0
226|однозначно|однозначно|однозначно|ADVB|226|13|11|BADW|||1|1.0
227|ключевой|ключевое|ключевое|ADJF|227|13|12||||5|1.0
228|слово|слово|слово|NOUN|228|13|13||||4|1.0
229|,|,|,|PNCT|229|13|14|PNCT|||41|3.0
230|который|которое|которое|ADJF|230|13|15|BADW|||3|1.0
231|должен|должно|должно|ADJS|231|13|16||||1|1.0
232|иметь|иметь|иметь|INFN|232|13|17||||1|1.0
233|значимый|значимую|значимую|ADJF|233|13|18||||3|1.0
234|для|для|для|PREP|234|13|19|BADW|||4|2.0
235|дальнейший|дальнейшего|дальнейшего|ADJF|235|13|20||||1|1.0
236|анализ|анализа|анализа|NOUN|236|13|21||||5|1.0
237|граммема|граммему|граммему|NOUN|237|13|22||||1|1.0
238|.|.|.|PNCT|238|13|23|PNCT|||20|1.0
239|кроме|кроме|Кроме|PREP|239|14|1|BADW|||1|1.0
240|тот|того|того|ADJF|240|14|2|BADW|||3|1.0
241|,|,|,|PNCT|241|14|3|PNCT|||41|2.0
242|в|в|в|NOUN|242|14|4|BADW|||8|1.0
243|это|этом|этом|NPRO|243|14|5|BADW|||2|1.0
244|же|же|же|PRCL|244|14|6|BADW|||2|1.0
245|текст|тексте|тексте|NOUN|245|14|7||||5|1.0
246|присутствую|присутствует|присутствует|VERB|246|14|8||||1|1.0
247|название|название|название|NOUN|247|14|9||||1|1.0
248|программа|программы|программы|NOUN|248|14|10||||1|1.0
249|nrlpk|nrlpk|nrlpk|LATN|249|14|11|LATN|||2|2.0
250|и|и|и|PRCL|250|14|12|BADW|||13|1.0
251|ещё|ещё|ещё|ADVB|251|14|13|BADW|||1|1.0
252|расшифровка|расшифровка|расшифровка|NOUN|252|14|14||||1|1.0
253|,|,|,|PNCT|253|14|15|PNCT|||41|2.0
254|nrlpk|natural russian language processing by the keys|Natural Russian Language Processing by the Keys|LATN|254|14|16|LATN|2||2|2.0
255|natural|natural|Natural|LATN|254|14|16|LATN||2|1|1.0
256|russian|russian|Russian|LATN|255|14|17|LATN||2|1|1.0
257|language|language|Language|LATN|256|14|18|LATN||2|1|1.0
258|processing|processing|Processing|LATN|257|14|19|LATN||2|1|1.0
259|by|by|by|LATN|258|14|20|LATN||2|1|1.0
260|the|the|the|LATN|259|14|21|LATN||2|1|1.0
261|keys|keys|Keys|LATN|260|14|22|LATN||2|1|1.0
262|.|.|.|PNCT|261|14|23|PNCT|||20|1.0
263|тот|тот|Тот|ADJF|262|15|1|BADW|||3|1.0
264|,|,|,|PNCT|263|15|2|PNCT|||41|5.0
265|кто|кто|кто|NPRO|264|15|3|BADW|||1|1.0
266|писаю|писал|писал|VERB|265|15|4||||1|1.0
267|текст|текст|текст|NOUN|266|15|5||||5|2.0
268|умышленно|умышленно|умышленно|ADVB|267|15|6|BADW|||1|1.0
269|сделал|сделал|сделал|VERB|268|15|7||||2|1.0
270|так|так|так|ADVB|269|15|8|BADW|||1|1.0
271|,|,|,|PNCT|270|15|9|PNCT|||41|5.0
272|чтобы|чтобы|чтобы|PRCL|271|15|10|BADW|||3|1.0
273|читатель|читателю|читателю|NOUN|272|15|11||||1|1.0
274|было|было|было|PRCL|273|15|12|BADW|||2|1.0
275|очевидно|очевидно|очевидно|CONJ|274|15|13|BADW|||1|1.0
276|,|,|,|PNCT|275|15|14|PNCT|||41|5.0
277|что|что|что|PRCL|276|15|15|BADW|||2|2.0
278|этот|это|это|ADJF|277|15|16|BADW|||8|2.0
279|,|,|,|PNCT|278|15|17|PNCT|||41|5.0
280|значимый|значимые|значимые|ADJF|279|15|18||||3|1.0
281|сущность|сущности|сущности|NOUN|280|15|19||||1|1.0
282|текст|текста|текста|NOUN|281|15|20||||5|2.0
283|,|,|,|PNCT|282|15|21|PNCT|||41|5.0
284|и|и|и|PRCL|283|15|22|BADW|||13|2.0
285|что|что|что|PRCL|284|15|23|BADW|||2|2.0
286|этот|это|это|ADJF|285|15|24|BADW|||8|2.0
287|один|одно|одно|ADJF|286|15|25||||2|1.0
288|и|и|и|PRCL|287|15|26|BADW|||13|2.0
289|тоже|тоже|тоже|PRCL|288|15|27|BADW|||1|1.0
290|понятие|понятие|понятие|NOUN|289|15|28||||1|1.0
291|.|.|.|PNCT|290|15|29|PNCT|||20|1.0
292|я|мне|Мне|NPRO|291|16|1|BADW|||8|1.0
293|хотелось|хотелось|хотелось|VERB|292|16|2||||1|1.0
294|,|,|,|PNCT|293|16|3|PNCT|||41|4.0
295|чтобы|чтобы|чтобы|PRCL|294|16|4|BADW|||3|2.0
296|и|и|и|PRCL|295|16|5|BADW|||13|3.0
297|машина|машина|машина|NOUN|296|16|6|SPEC|||1|1.0
298|этот|это|это|ADJF|297|16|7|BADW|||8|3.0
299|увидел|увидела|увидела|VERB|298|16|8|WIQM|||1|1.0
300|,|,|,|PNCT|299|16|9|PNCT|||41|4.0
301|чтобы|чтобы|чтобы|PRCL|300|16|10|BADW|||3|2.0
302|где-то|где-то|где-то|ADVB|301|16|11|BADW|||1|1.0
303|,|,|,|PNCT|302|16|12|PNCT|||41|4.0
304|сейчас|сейчас|сейчас|ADVB|303|16|13|BADW|||1|1.0
305|этот|это|это|ADJF|304|16|14|BADW|||8|3.0
306|в|в|в|NOUN|305|16|15|BADW|||8|1.0
307|поле|поле|поле|NOUN|306|16|16||||1|1.0
308|lemm|lemm|lemm|LATN|307|16|17|LATN|||1|1.0
309|,|,|,|PNCT|308|16|18|PNCT|||41|4.0
310|этот|это|это|ADJF|309|16|19|BADW|||8|3.0
311|и|и|и|PRCL|310|16|20|BADW|||13|3.0
312|стал|стало|стало|VERB|311|16|21||||1|1.0
313|один|одним|одним|ADJF|312|16|22||||2|1.0
314|и|и|и|PRCL|313|16|23|BADW|||13|3.0
315|тем-же|тем-же|тем-же|UNKN|314|16|24|UNKN|||1|1.0
316|.|.|.|PNCT|315|16|25|PNCT|||20|1.0
317|но|но|Но|INTJ|316|17|1|BADW|||6|1.0
318|для|для|для|PREP|317|17|2|BADW|||4|1.0
319|это|этого|этого|NPRO|318|17|3|BADW|||2|1.0
320|нельзя|нельзя|нельзя|PRED|319|17|4||||1|1.0
321|было|было|было|PRCL|320|17|5|BADW|||2|1.0
322|допустить|допустить|допустить|INFN|321|17|6||||1|1.0
323|пословный|пословной|пословной|ADJF|322|17|7||||1|1.0
324|токенизации|токенизации|токенизации|UNKN|323|17|8|UNKN|||2|1.0
325|до|до|до|PREP|324|17|9|BADW|||2|1.0
326|завершение|завершения|завершения|NOUN|325|17|10||||1|1.0
327|анализ|анализа|анализа|NOUN|326|17|11||||5|1.0
328|текст|текста|текста|NOUN|327|17|12||||5|1.0
329|и|и|и|PRCL|328|17|13|BADW|||13|1.0
330|выбор|выбора|выбора|NOUN|329|17|14||||3|1.0
331|значимый|значимых|значимых|ADJF|330|17|15||||3|1.0
332|выражение|выражений|выражений|NOUN|331|17|16||||2|1.0
333|.|.|.|PNCT|332|17|17|PNCT|||20|1.0
334|и|и|И|PRCL|333|18|1|BADW|||13|1.0
335|вот|вот|вот|PRCL|334|18|2|BADW|||1|1.0
336|здесь|здесь|здесь|ADVB|335|18|3|BADW|||1|1.0
337|мы|мы|мы|NPRO|336|18|4|BADW|||1|1.0
338|разошёлся|разошлись|разошлись|VERB|337|18|5||||1|1.0
339|в|в|в|NOUN|338|18|6|BADW|||8|1.0
340|идеология|идеологии|идеологии|NOUN|339|18|7||||1|1.0
341|с|с|с|NOUN|340|18|8|BADW|||3|1.0
342|pymorhy2|pymorhy2|pymorhy2|LATN|341|18|9|LATN|||4|1.0
343|.|.|.|PNCT|342|18|10|PNCT|||20|1.0
344|т|т|Т|NOUN|343|19|1|BADW|||1|1.0
345|.|.|.|PNCT|344|19|2|PNCT|||20|1.0
346|есть|е|е|VERB|345|20|1|BADW|||2|1.0
347|,|,|,|PNCT|346|20|2|PNCT|||41|2.0
348|по|по|по|PREP|347|20|3|BADW|||4|1.0
349|суть|сути|сути|NOUN|348|20|4||||1|1.0
350|,|,|,|PNCT|349|20|5|PNCT|||41|2.0
351|я|я|я|NPRO|350|20|6|BADW|||8|1.0
352|просто|просто|просто|PRCL|351|20|7|BADW|||1|1.0
353|решаю|решаю|решаю|VERB|352|20|8||||2|1.0
354|немного|немного|немного|ADVB|353|20|9|BADW|||1|1.0
355|иной|иную|иную|ADJF|354|20|10||||1|1.0
356|задача|задачу|задачу|NOUN|355|20|11||||8|1.0
357|.|.|.|PNCT|356|20|12|PNCT|||20|1.0
