|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|yotoe|case|plural|gender|animacy|cattimes|transitiv|sectransitiv|aspect|pers|catcomp|catcollat|catmood|catplural|refn|secrefn|f_text|f_sent
74|взыскать|взыскать|Взыскать|INFN|70|5|1||||||||||||perf||||||||1|1.0
75|c|c|c|CONJ|71|5|2|BADW|||||||||||||||||||1|1.0
76|индивидуальный|индивидуального|индивидуального|ADJF|72|5|3|||||gent|sing|masc|||||||||||||1|1.0
77|предприниматель|предпринимателя|предпринимателя|NOUN|73|5|4|||||gent|sing|masc|anim||||||||||||1|1.0
79|иванов костантин петрович|иванова костантипа петровича|Иванова Костантипа Петровича|NAME|74|5|5|NAME|6.0||||||||||||||||||1|1.0
78|иванов|иванова|Иванова|NOUN|74|5|5|TITL||6.0||gent|sing|masc|anim|||||||||Sgtm|Surn||1|1.0
80|костантин|костантина|Костантипа|NOUN|75|5|6|TITL||6.0||gent|sing|masc|anim||||||||||Name||1|1.0
81|петрович|петровича|Петровича|NOUN|76|5|7|TITL||6.0||gent|sing|masc|anim||||||||||Patr||1|1.0
82|дата|дата|дата|NOUN|77|5|8|||||nomn|sing|femn|inan||||||||||||1|1.0
83|рождение|рождения|рождения|NOUN|78|5|9|||||gent|sing|neut|inan||||||||||||1|1.0
84|10.01.1970|10 января 1970 года|10 января 1970 года|NUSR|79|5|10|NUSR|7.0||||||||||||||||||1|1.0
85|10|10|10|NUMB|79|5|10|NUMB||7.0|||||||||||||||||1|1.0
86|январь|января|января|NOUN|80|5|11|||7.0||gent|sing|masc|inan||||||||||||1|1.0
87|1970|1970|1970|NUMB|81|5|12|NUMB||7.0|||||||||||||||||1|1.0
88|год|года|года|NOUN|82|5|13|||7.0||gen1|sing|masc|inan||||||||||||1|1.0
89|,|,|,|PNCT|83|5|14|PNCT|||||||||||||||||||8|1.0
90|проживающий|проживающего|проживающего|PRTF|84|5|15|||||gent|sing|masc||pres|tran||impf|||actv|||||1|1.0
91|по|по|по|NOUN|85|5|16|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr||3|1.0
92|адрес|адресу|адресу|NOUN|86|5|17|||||datv|sing|masc|inan||||||||||||2|1.0
94|город санкт-петербург, ул крузенштерна, дом 5/1а|город санкт-петербург, ул крузенштерна, дом 5/1а|город Санкт-Петербург, ул Крузенштерна, дом 5/1А|ADDR|87|5|18|ADDR|8.0||||||||||||||||||1|1.0
93|город|город|город|NOUN|87|5|18|||8.0||nomn|sing|masc|inan||||||||||||2|1.0
95|санкт-петербург|санкт-петербург|Санкт-Петербург|NOUN|88|5|19|TITL||8.0||nomn|sing|masc|inan||||||||||Geox||1|1.0
96|ул|ул|ул|NOUN|89|5|20|||8.0||nomn|sing|femn|inan|||||||||Fixd|Abbr||1|1.0
97|крузенштерн|крузенштерна|Крузенштерна|NOUN|90|5|21|TITL||8.0||gent|sing|masc|anim|||||||||Sgtm|Surn||1|1.0
98|дом|дом|дом|NOUN|91|5|22|||8.0||nomn|sing|masc|inan||||||||||||1|1.0
99|5/1а|5/1а|5/1А|WLTR|92|5|23|WLTR||8.0|||||||||||||||||1|1.0
100|8-000|8 000|8 000|NUSR|93|5|24|NUSR|9.0||||||||||||||||||1|1.0
101|8|8|8|NUMB|93|5|24|NUMB||9.0|||||||||||||||||1|1.0
102|000|000|000|NUMB|94|5|25|NUMB||9.0|||||||||||||||||1|1.0
104|восемь тысяч|восемь тысяч|восемь тысяч|oPNC|95|5|26|oPNC|10.0||||||||||||||||||1|1.0
103|восемь|восемь|восемь|NUMR|95|5|26|||10.0||nomn|||||||||||||||1|1.0
105|тысяча|тысяч|тысяч|NOUN|96|5|27|||10.0||gent|plur|femn|inan||||||||||||1|1.0
106|рубль|рублей|рублей|NOUN|97|5|28|||||gent|plur|masc|inan||||||||||||2|1.0
107|00 копеек|00 копеек|00 копеек|NUSR|98|5|29|NUSR|11.0||||||||||||||||||1|1.0
108|00|00|00|NUMB|98|5|29|NUMB||11.0|||||||||||||||||1|1.0
109|копейка|копеек|копеек|NOUN|99|5|30|||11.0||gent|plur|femn|inan||||||||||||1|1.0
110|гос|гос|гос|NOUN|100|5|31|||||accs|sing|masc|inan||||||||||Abbr||1|1.0
111|пошлина|пошлины|пошлины|NOUN|101|5|32|||||gent|sing|femn|inan||||||||||||1|1.0
112|в|в|в|NOUN|102|5|33|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||3|1.0
113|польза|пользу|пользу|NOUN|103|5|34|||||accs|sing|femn|inan||||||||||||1|1.0
114|бюджет|бюджета|бюджета|NOUN|104|5|35|||||gent|sing|masc|inan||||||||||||1|1.0
115|рф|рф|РФ|NOUN|105|5|36|UPPR||||gent|sing|femn|inan|||||||||Fixd|Geox||1|1.0
116|житель|жители|Жители|NOUN|106|5|37|TITL||||nomn|plur|masc|anim||||||||||||1|1.0
117|требую|требуют|требуют|VERB|107|5|38||||||plur|||pres|tran||impf|3per|||indc||||1|1.0
118|незамедлительный|незамедлительной|незамедлительной|ADJF|108|5|39|||||gent|sing|femn|||||||||||||1|1.0
119|остановка|остановки|остановки|NOUN|109|5|40|||||gent|sing|femn|inan||||||||||||1|1.0
120|мпз|мпз|МПЗ|NOUN|110|5|41|ABVR|||||sing||inan|||||||||Fixd|Abbr||2|1.0
121|и|и|и|CONJ|111|5|42|BADW|||||||||||||||||||2|1.0
122|его|его|его|ADJF|112|5|43|||||gent|sing|masc||||||||||Fixd|Apro|Anph|1|1.0
123|вывод|вывода|вывода|NOUN|113|5|44|||||gent|sing|masc|inan||||||||||||1|1.0
124|из|из|из|PREP|114|5|45|BADW|||||||||||||||||||2|1.0
125|район|района|района|NOUN|115|5|46|||||gent|sing|masc|inan||||||||||||1|1.0
126|.|.|.|PNCT|116|5|47|PNCT|||||||||||||||||||6|1.0
127|решение|решение|Решение|NOUN|117|6|1|||||nomn|sing|neut|inan||||||||||||1|1.0
128|было|было|было|PRCL|118|6|2|BADW|||||||||||||||||||1|1.0
129|принят|принято|принято|ADJS|119|6|3||||||sing|neut|||||||||||||1|1.0
130|по|по|по|NOUN|120|6|4|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr||3|1.0
131|поручение|поручению|поручению|NOUN|121|6|5|||||datv|sing|neut|inan||||||||||||1|1.0
133|мэра города сергея собянина|мэра города сергея собянина|мэра города Сергея Собянина|ADDR|122|6|6|ADDR|12.0||||||||||||||||||1|1.0
132|мэр|мэра|мэра|NOUN|122|6|6|||12.0||gent|sing|masc|anim||||||||||||2|1.0
134|город|города|города|NOUN|123|6|7|||12.0||gent|sing|masc|inan||||||||||||2|1.0
135|сергей|сергея|Сергея|NOUN|124|6|8|TITL||12.0||gent|sing|masc|anim||||||||||Name||1|1.0
136|собянин|собянина|Собянина|NOUN|125|6|9|TITL||12.0||gent|sing|masc|anim|||||||||Sgtm|Surn||1|1.0
137|в|в|в|NOUN|126|6|10|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||3|1.0
138|связь|связи|связи|NOUN|127|6|11|||||gent|sing|femn|inan||||||||||||1|1.0
139|с|с|с|NOUN|128|6|12|BADW||||nomn|sing|femn|inan|||||||||Fixd|Abbr||2|1.0
140|ограничение|ограничениями|ограничениями|NOUN|129|6|13||||||plur|neut|inan||||||||||||1|1.0
141|из-за|из-за|из-за|PREP|130|6|14|BADW|||||||||||||||||||1|1.0
142|коронавирус|коронавируса|коронавируса|NOUN|131|6|15|||||gent|sing|masc|inan||||||||||||1|1.0
143|.|.|.|PNCT|132|6|16|PNCT|||||||||||||||||||6|1.0
