|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|yotoe|case|plural|gender|animacy|cattimes|transitiv|sectransitiv|aspect|pers|catcomp|catcollat|catmood|catplural|refn|secrefn|f_sent|f_text
25|программа|программа|программа|NOUN|23|4|1|||||nomn|sing|femn|inan||||||||||||1.0|2
26|,|,|,|PNCT|24|4|2|PNCT|||||||||||||||||||1.0|141
27|выуживающий|выуживающая|выуживающая|PRTF|25|4|3|WIQM||||nomn|sing|femn||pres|tran||impf|||actv|||||1.0|1
28|из|из|из|PREP|26|4|4|BADW|||||||||||||||||||1.0|14
29|сырой|сырого|сырого|ADJF|27|4|5|||||gent|sing|masc|||||||||||Qual||1.0|2
31|русский текст|текст русский|текста русском|2GRM|28|4|6|nPNC|35.0||||||||||||||||||1.0|3
30|текст|текста|текста|NOUN|28|4|6|||||gent|sing|masc|inan||||||||||||1.0|30
32|на|на|на|INTJ|29|4|7|BADW|||||||||||||||||||1.0|17
34|русский язык|русский язык|русском языке|2GRM|30|4|8|nPNC|38.0||||||||||||||||||1.0|3
33|русский|русском|русском|ADJF|30|4|8||||||sing|masc|||||||||||Subx||1.0|4
35|язык|языке|языке|NOUN|31|4|9|||||loc1|sing|masc|inan||||||||||||1.0|3
36|уникальный|уникальные|уникальные|ADJF|32|4|10|||||accs|plur||inan||||||||||Qual||1.0|1
37|название|названия|названия|NOUN|33|4|11|||||accs|plur|neut|inan||||||||||||1.0|2
38|продукция|продукции|продукции|NOUN|34|4|12|||||accs|plur|femn|inan||||||||||||1.0|2
39|по|по|по|NOUN|35|4|13|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr||1.0|16
40|определенный|определенной|определенной|PRTF|36|4|14||||1.0|gent|sing|femn||past|tran||perf|||pssv|||||1.0|1
41|отрасль|отрасли|отрасли|NOUN|37|4|15|||||gent|sing|femn|inan||||||||||||1.0|2
42|.|.|.|PNCT|38|4|16|PNCT|||||||||||||||||||1.0|103
43|сырой|сырой|Сырой|ADJF|39|5|1|||||gent|sing|femn|||||||||||Qual||1.0|2
44|текст|текст|текст|NOUN|40|5|2|||||nomn|sing|masc|inan||||||||||||2.0|30
45|,|,|,|PNCT|41|5|3|PNCT|||||||||||||||||||3.0|141
46|текст|текст|текст|NOUN|42|5|4|||||nomn|sing|masc|inan||||||||||||2.0|30
47|,|,|,|PNCT|43|5|5|PNCT|||||||||||||||||||3.0|141
48|который|который|который|ADJF|44|5|6|BADW||||nomn|sing|masc|||||||||||Subx|Anph|1.0|9
49|пишу|писал|писал|VERB|45|5|7||||||sing|masc||past|tran||impf||||indc||||1.0|2
50|человек|человек|человек|NOUN|46|5|8|||||nomn|sing|masc|anim||||||||||||1.0|2
51|,|,|,|PNCT|47|5|9|PNCT|||||||||||||||||||3.0|141
52|просто|просто|просто|ADVB|48|5|10|BADW|||||||||||||||||||1.0|1
53|излагая|излагая|излагая|GRND|49|5|11|||||||||pres|tran||impf||||||||1.0|1
54|свой|свои|свои|ADJF|50|5|12|||||nomn|plur||||||||||||Apro|Anph|1.0|1
55|мысль|мысли|мысли|NOUN|51|5|13|||||nomn|plur|femn|inan||||||||||||1.0|1
56|и|и|и|CONJ|52|5|14|BADW|||||||||||||||||||1.0|44
57|не|не|не|PRCL|53|5|15||||||||||||||||||||1.0|28
58|заботясь|заботясь|заботясь|GRND|54|5|16|||||||||pres|intr||impf||||||||1.0|1
59|о|о|о|INTJ|55|5|17|BADW|||||||||||||||||||1.0|2
60|формирование|формировании|формировании|NOUN|56|5|18||||||sing|neut|inan||||||||||||1.0|1
61|или|или|или|CONJ|57|5|19|BADW|||||||||||||||||||1.0|9
62|выделение|выделении|выделении|NOUN|58|5|20||||||sing|neut|inan||||||||||||1.0|1
63|какой-либо|какого-либо|какого-либо|ADJF|59|5|21|BADW||||gent|sing|masc|||||||||||Apro||1.0|1
65|список слов|список слово|списка слов|2GRM|60|5|22|nPNC|40.0||||||||||||||||||1.0|6
64|список|списка|списка|NOUN|60|5|22|||||gent|sing|masc|inan||||||||||||1.0|14
66|слово|слов|слов|NOUN|61|5|23|||||gent|plur|neut|inan||||||||||||1.0|32
67|.|.|.|PNCT|62|5|24|PNCT|||||||||||||||||||1.0|103
68|автоматически|автоматически|автоматически|ADVB|63|6|1||||||||||||||||||||1.0|3
69|получаемый|получаемый|получаемый|PRTF|64|6|2|||||accs|sing|masc|inan|pres|tran||impf|||pssv|||||1.0|1
71|список слов|список слово|список слов|2GRM|65|6|3|nPNC|41.0||||||||||||||||||1.0|6
70|список|список|список|NOUN|65|6|3|||||accs|sing|masc|inan||||||||||||1.0|14
72|слово|слов|слов|NOUN|66|6|4|||||gent|plur|neut|inan||||||||||||1.0|32
73|.|.|.|PNCT|67|6|5|PNCT|||||||||||||||||||1.0|103
74|минимальный|минимальная|минимальная|ADJF|68|7|1|||||nomn|sing|femn|||||||||||||1.0|1
75|ручной|ручная|ручная|ADJF|69|7|2|||||nomn|sing|femn|||||||||||||1.0|6
76|или|или|или|CONJ|70|7|3|BADW|||||||||||||||||||2.0|9
77|автоматизированный|автоматизированная|автоматизированная|ADJF|71|7|4|||||nomn|sing|femn|||||||||||||1.0|1
78|обработка|обработка|обработка|NOUN|72|7|5|||||nomn|sing|femn|inan||||||||||||1.0|3
79|для|для|для|GRND|73|7|6|BADW||||||||pres|tran||impf||||||||1.0|13
80|преобразование|преобразования|преобразования|NOUN|74|7|7|||||gent|sing|neut|inan||||||||||||1.0|1
81|список|списка|списка|NOUN|75|7|8|||||gent|sing|masc|inan||||||||||||1.0|14
82|в|в|в|NOUN|76|7|9|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||1.0|48
83|набор|набор|набор|NOUN|77|7|10|||||nomn|sing|masc|inan||||||||||||1.0|4
84|хештег|хештегов|хештегов|NOUN|78|7|11|||||gent|plur|masc|inan||||||||||||1.0|1
85|или|или|или|CONJ|79|7|12|BADW|||||||||||||||||||2.0|9
87|ключевое слово|ключевой слово|ключевых слов|2GRM|80|7|13|nPNC|46.0||||||||||||||||||1.0|4
86|ключевой|ключевых|ключевых|ADJF|80|7|13|||||gent|plur||||||||||||||1.0|12
89|слово текста|слово текст|слов тексту|2GRM|81|7|14|nPNC|50.0||||||||||||||||||1.0|5
88|слово|слов|слов|NOUN|81|7|14|||||gent|plur|neut|inan||||||||||||1.0|32
90|к|к|к|NOUN|82|7|15|BADW||||nomn|sing|masc|anim|||||||||Fixd|Abbr||1.0|16
91|текст|тексту|тексту|NOUN|83|7|16|||||datv|sing|masc|inan||||||||||||1.0|30
92|.|.|.|PNCT|84|7|17|PNCT|||||||||||||||||||1.0|103
93|полагаю|полагаю|Полагаю|VERB|85|8|1||||||sing|||pres|tran||impf|1per|||indc||||1.0|2
94|,|,|,|PNCT|86|8|2|PNCT|||||||||||||||||||6.0|141
95|что|что|что|ADVB|87|8|3|BADW|||||||||||||||||||1.0|9
96|неявно|неявно|неявно|ADVB|88|8|4|BADW|||||||||||||||||||1.0|1
97|с|с|с|NOUN|89|8|5|BADW||||nomn|sing|femn|inan|||||||||Fixd|Abbr||1.0|25
98|проблема|проблемой|проблемой|NOUN|90|8|6||||||sing|femn|inan||||||||||||1.0|2
99|многие|многие|многие|NPRO|91|8|7|BADW||||nomn|plur||||||||||||||1.0|2
100|сталкиваюсь|сталкиваются|сталкиваются|VERB|92|8|8||||||plur|||pres|intr||impf|3per|||indc||||1.0|1
101|ежедневно|ежедневно|ежедневно|ADVB|93|8|9|BADW|||||||||||||||||||1.0|1
102|,|,|,|PNCT|94|8|10|PNCT|||||||||||||||||||6.0|141
103|после|после|после|ADVB|95|8|11|BADW|||||||||||||||||||1.0|3
104|написание|написания|написания|NOUN|96|8|12|||||gent|sing|neut|inan||||||||||||1.0|1
105|или|или|или|CONJ|97|8|13|BADW|||||||||||||||||||1.0|9
106|анализ|анализа|анализа|NOUN|98|8|14|||||gent|sing|masc|inan||||||||||||1.0|8
107|статья|статьи|статьи|NOUN|99|8|15|||||gent|sing|femn|inan||||||||||||1.0|13
108|,|,|,|PNCT|100|8|16|PNCT|||||||||||||||||||6.0|141
109|пост|поста|поста|NOUN|101|8|17|||||gent|sing|masc|inan||||||||||||1.0|1
110|,|,|,|PNCT|102|8|18|PNCT|||||||||||||||||||6.0|141
111|комментарий|комментария|комментария|NOUN|103|8|19|||||gent|sing|masc|inan||||||||||||1.0|1
112|,|,|,|PNCT|104|8|20|PNCT|||||||||||||||||||6.0|141
113|заметка|заметки|заметки|NOUN|105|8|21|||||gent|sing|femn|inan||||||||||||1.0|1
114|,|,|,|PNCT|106|8|22|PNCT|||||||||||||||||||6.0|141
115|отчет|отчета|отчета|NOUN|107|8|23||||1.0|gent|sing|masc|inan||||||||||||1.0|1
116|и|и|и|CONJ|108|8|24|BADW|||||||||||||||||||1.0|44
117|т.д|т.д|т.д|PRCL|109|8|25|BADW|||||||||||||||||||1.0|3
118|.|.|.|PNCT|110|8|26|PNCT|||||||||||||||||||1.0|103
119|вот|вот|Вот|PRCL|111|9|1|BADW|||||||||||||||||||1.0|3
120|и|и|и|CONJ|112|9|2|BADW|||||||||||||||||||1.0|44
121|я|мне|мне|NPRO|113|9|3|BADW||||datv|sing|||||||1per|||||||1.0|4
122|по|по|по|NOUN|114|9|4|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr||2.0|16
123|род|роду|роду|NOUN|115|9|5|||||gen2|sing|masc|inan||||||||||||1.0|1
124|деятельность|деятельности|деятельности|NOUN|116|9|6|||||gent|sing|femn|inan||||||||||||1.0|1
125|прихожусь|приходилось|приходилось|VERB|117|9|7||||||sing|neut||past|intr||impf||||indc||||1.0|1
126|сталкиваться|сталкиваться|сталкиваться|INFN|118|9|8||||||||||||impf||||||||1.0|1
127|с|с|с|NOUN|119|9|9|BADW||||nomn|sing|femn|inan|||||||||Fixd|Abbr||1.0|25
128|данный|данной|данной|PRTF|120|9|10|||||gent|sing|femn||past|tran||perf|||pssv|||||1.0|7
129|проблема|проблемой|проблемой|NOUN|121|9|11||||||sing|femn|inan||||||||||||1.0|2
130|по|по|по|NOUN|122|9|12|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr||2.0|16
131|много|многу|многу|NUMR|123|9|13|BADW||||datv||||||||||||||Dist|1.0|1
132|раз|раз|раз|ADVB|124|9|14|BADW|||||||||||||||||||1.0|4
133|в|в|в|NOUN|125|9|15|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||1.0|48
134|день|день|день|NOUN|126|9|16|||||nomn|sing|masc|inan||||||||||||1.0|1
135|.|.|.|PNCT|127|9|17|PNCT|||||||||||||||||||1.0|103
136|поэтому|поэтому|Поэтому|ADVB|128|10|1|BADW|||||||||||||||||||1.0|1
137|,|,|,|PNCT|129|10|2|PNCT|||||||||||||||||||3.0|141
138|можно|можно|можно|PRED|130|10|3|BADW|||||||||||||||||||1.0|6
139|сказать|сказать|сказать|INFN|131|10|4||||||||||||perf||||||||1.0|1
140|,|,|,|PNCT|132|10|5|PNCT|||||||||||||||||||3.0|141
141|к|к|к|NOUN|133|10|6|BADW||||nomn|sing|masc|anim|||||||||Fixd|Abbr||1.0|16
142|идея|идее|идее|NOUN|134|10|7|||||datv|sing|femn|inan||||||||||||1.0|3
143|автоматизация|автоматизации|автоматизации|NOUN|135|10|8|||||datv|sing|femn|inan||||||||||||1.0|2
144|я|меня|меня|NPRO|136|10|9|BADW||||gent|sing|||||||1per|||||||1.0|4
145|привёл|привела|привела|VERB|137|10|10||||||sing|femn||past|tran||perf||||indc||||1.0|1
146|лень|лень|лень|NOUN|138|10|11|WIQM||||nomn|sing|femn|inan||||||||||||1.0|1
147|,|,|,|PNCT|139|10|12|PNCT|||||||||||||||||||3.0|141
148|в|в|в|NOUN|140|10|13|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||1.0|48
149|хороший|хорошем|хорошем|ADJF|141|10|14||||||sing|masc|||||||||||Qual||1.0|1
150|смысл|смысле|смысле|NOUN|142|10|15||||||sing|masc|inan||||||||||||1.0|1
151|это|этого|этого|NPRO|143|10|16|BADW||||gent|sing|neut|||||||||||||1.0|7
152|слово|слова|слова|NOUN|144|10|17|||||nomn|plur|neut|inan||||||||||||1.0|32
153|.|.|.|PNCT|145|10|18|PNCT|||||||||||||||||||1.0|103
154|сейчас|сейчас|Сейчас|ADVB|146|11|1|BADW|||||||||||||||||||1.0|3
155|,|,|,|PNCT|147|11|2|PNCT|||||||||||||||||||3.0|141
156|когда|когда|когда|ADVB|148|11|3|BADW|||||||||||||||||||1.0|1
157|я|я|я|NOUN|149|11|4|BADW||||nomn|sing|ms-f|anim|||||||||Fixd|Name|Init|1.0|4
158|пишу|пишу|пишу|VERB|150|11|5||||||sing|||pres|tran||impf|1per|||indc||||1.0|2
159|этот|эту|эту|ADJF|151|11|6|BADW||||accs|sing|femn|||||||||||Apro|Anph|1.0|7
160|статья|статью|статью|NOUN|152|11|7|||||accs|sing|femn|inan||||||||||||1.0|13
161|,|,|,|PNCT|153|11|8|PNCT|||||||||||||||||||3.0|141
162|сохранился|сохранилась|сохранилась|VERB|154|11|9||||||sing|femn||past|intr||perf||||indc||||1.0|1
163|идея|идея|идея|NOUN|155|11|10|||||nomn|sing|femn|inan||||||||||||1.0|3
164|,|,|,|PNCT|156|11|11|PNCT|||||||||||||||||||3.0|141
165|но|но|но|CONJ|157|11|12|BADW|||||||||||||||||||1.0|4
167|набор данных|набор данные|набор данных|2GRM|158|11|13|nPNC|55.0||||||||||||||||||1.0|3
166|набор|набор|набор|NOUN|158|11|13|||||nomn|sing|masc|inan||||||||||||1.0|4
168|данные|данных|данных|NOUN|159|11|14|||||gent|plur||inan|||||||||Pltm|||1.0|8
169|конечный|конечного|конечного|ADJF|160|11|15|||||gent|sing|masc|||||||||||Qual||1.0|1
170|результат|результата|результата|NOUN|161|11|16|||||gent|sing|masc|inan||||||||||||1.0|9
171|сильно|сильно|сильно|ADVB|162|11|17|BADW|||||||||||||||||||1.0|1
172|изменился|изменился|изменился|VERB|163|11|18||||||sing|masc||past|intr||perf||||indc||||1.0|1
173|.|.|.|PNCT|164|11|19|PNCT|||||||||||||||||||1.0|103
174|выбираюсь|выбираются|выбираются|VERB|165|12|1||||||plur|||pres|intr||impf|3per|||indc||||1.0|1
175|не|не|не|PRCL|166|12|2||||||||||||||||||||1.0|28
177|ключевое слово|слово ключевой|слова ключевые|2GRM|167|12|3|nPNC|47.0||||||||||||||||||1.0|4
176|слово|слова|слова|NOUN|167|12|3|||||gent|sing|neut|inan||||||||||||2.0|32
178|,|,|,|PNCT|168|12|4|PNCT|||||||||||||||||||1.0|141
179|а|а|а|NOUN|169|12|5|||||gent|sing|ms-f|anim|||||||||Fixd|Name|Init|1.0|5
181|ключевое выражение|ключевой выражение|ключевые выражения|2GRM|170|12|6|nPNC|27.0||||||||||||||||||1.0|8
180|ключевой|ключевые|ключевые|ADJF|170|12|6|||||accs|plur||inan||||||||||||1.0|12
182|выражение|выражения|выражения|NOUN|171|12|7|||||gent|sing|neut|inan||||||||||||1.0|17
183|и|и|и|CONJ|172|12|8|BADW|||||||||||||||||||1.0|44
184|в|в|в|NOUN|173|12|9|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||1.0|48
185|тот|том|том|ADJF|174|12|10|BADW|||||sing|masc|||||||||||Apro|Anph|1.0|5
187|число слов|число слово|числе слова|2GRM|175|12|11|nPNC|58.0||||||||||||||||||1.0|4
186|число|числе|числе|NOUN|175|12|11||||||sing|neut|inan||||||||||||1.0|11
189|список слов|слово список|слова список|2GRM|176|12|12|nPNC|42.0||||||||||||||||||1.0|6
188|слово|слова|слова|NOUN|176|12|12|||||gent|sing|neut|inan||||||||||||2.0|32
190|.|.|.|PNCT|177|12|13|PNCT|||||||||||||||||||1.0|103
192|ключевой список|список ключевой|список ключевых|2GRM|178|13|1|nPNC|62.0||||||||||||||||||1.0|4
191|список|список|список|NOUN|178|13|1|||||nomn|sing|masc|inan||||||||||||1.0|14
194|ключевое выражение|ключевой выражение|ключевых выражений|2GRM|179|13|2|nPNC|28.0||||||||||||||||||1.0|8
193|ключевой|ключевых|ключевых|ADJF|179|13|2|||||gent|plur||||||||||||||1.0|12
195|выражение|выражений|выражений|NOUN|180|13|3|||||gent|plur|neut|inan||||||||||||1.0|17
196|размечен|размечен|размечен|PRTS|181|13|4||||||sing|masc||past|||perf|||pssv|||||1.0|1
197|16-ю|16-ю|16-ю|NUSR|182|13|5|NUSR|||||||||||||||||||1.0|1
198|различный|различными|различными|ADJF|183|13|6||||||plur||||||||||||Qual||1.0|1
199|маркер|маркерами|маркерами|NOUN|184|13|7||||||plur|masc|inan||||||||||||1.0|8
200|.|.|.|PNCT|185|13|8|PNCT|||||||||||||||||||1.0|103
201|все|все|все|PRCL|186|14|1|BADW|||1.0||||||||||||||||1.0|1
203|слово текста|слово текст|слова текста|2GRM|187|14|2|nPNC|51.0||||||||||||||||||1.0|5
202|слово|слова|слова|NOUN|187|14|2|||||gent|sing|neut|inan||||||||||||1.0|32
204|текст|текста|текста|NOUN|188|14|3|||||gent|sing|masc|inan||||||||||||1.0|30
205|,|,|,|PNCT|189|14|4|PNCT|||||||||||||||||||3.0|141
206|в|в|в|NOUN|190|14|5|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||2.0|48
207|тот|том|том|ADJF|191|14|6|BADW|||||sing|masc|||||||||||Apro|Anph|1.0|5
208|число|числе|числе|NOUN|192|14|7||||||sing|neut|inan||||||||||||1.0|11
209|и|и|и|CONJ|193|14|8|BADW|||||||||||||||||||1.0|44
210|не|не|не|PRCL|194|14|9||||||||||||||||||||1.0|28
211|ключевой|ключевые|ключевые|ADJF|195|14|10|||||accs|plur||inan||||||||||||1.0|12
212|,|,|,|PNCT|196|14|11|PNCT|||||||||||||||||||3.0|141
213|лемматизированы|лемматизированы|лемматизированы|UNKN|197|14|12|UNKN|||||||||||||||||||1.0|1
214|,|,|,|PNCT|198|14|13|PNCT|||||||||||||||||||3.0|141
215|приведён|приведены|приведены|PRTS|199|14|14||||||plur|||past|||perf|||pssv|||||1.0|2
216|в|в|в|NOUN|200|14|15|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||2.0|48
217|начальный|начальную|начальную|ADJF|201|14|16|||||accs|sing|femn|||||||||||Qual||1.0|2
218|форма|форму|форму|NOUN|202|14|17|||||accs|sing|femn|inan||||||||||||1.0|2
219|или|или|или|CONJ|203|14|18|BADW|||||||||||||||||||1.0|9
220|унифицирован|унифицированы|унифицированы|PRTS|204|14|19||||||plur|||past|||perf|||pssv|||||1.0|1
221|под|под|под|NOUN|205|14|20|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||1.0|3
222|выведенный|выведенный|выведенный|PRTF|206|14|21|||||accs|sing|masc|inan|past|tran||perf|||pssv|||||1.0|1
223|формат|формат|формат|NOUN|207|14|22|||||accs|sing|masc|inan||||||||||||1.0|3
224|.|.|.|PNCT|208|14|23|PNCT|||||||||||||||||||1.0|103
225|каждый|каждое|каждое|ADJF|209|15|1|||||accs|sing|neut|||||||||||Apro||1.0|3
227|слово текста|слово текст|слово тексте|2GRM|210|15|2|nPNC|52.0||||||||||||||||||1.0|5
226|слово|слово|слово|NOUN|210|15|2|||||accs|sing|neut|inan||||||||||||1.0|32
228|в|в|в|NOUN|211|15|3|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr||1.0|48
229|текст|тексте|тексте|NOUN|212|15|4||||||sing|masc|inan||||||||||||2.0|30
230|имею|имеет|имеет|VERB|213|15|5||||||sing|||pres|tran||impf|3per|||indc||||1.0|3
231|дополнительный|дополнительную|дополнительную|ADJF|214|15|6|||||accs|sing|femn|||||||||||||1.0|1
232|аналитика|аналитику|аналитику|NOUN|215|15|7|||||accs|sing|femn|inan||||||||||||1.0|1
233|,|,|,|PNCT|216|15|8|PNCT|||||||||||||||||||1.0|141
234|относящийся|относящуюся|относящуюся|PRTF|217|15|9|||||accs|sing|femn||pres|intr||impf|||actv|||||1.0|1
235|к|к|к|NOUN|218|15|10|BADW||||nomn|sing|masc|anim|||||||||Fixd|Abbr||1.0|16
236|положение|положению|положению|NOUN|219|15|11|||||datv|sing|neut|inan||||||||||||1.0|1
237|по|по|по|NOUN|220|15|12|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr||1.0|16
238|текст|тексту|тексту|NOUN|221|15|13|||||datv|sing|masc|inan||||||||||||2.0|30
239|и|и|и|CONJ|222|15|14|BADW|||||||||||||||||||1.0|44
240|число|числу|числу|NOUN|223|15|15|||||datv|sing|neut|inan||||||||||||1.0|11
241|повторение|повторений|повторений|NOUN|224|15|16|||||gent|plur|neut|inan||||||||||||1.0|1
242|.|.|.|PNCT|225|15|17|PNCT|||||||||||||||||||1.0|103
243|результат|результаты|Результаты|NOUN|226|16|1|||||nomn|plur|masc|inan||||||||||||1.0|9
244|работа|работы|работы|NOUN|227|16|2|||||nomn|plur|femn|inan||||||||||||1.0|6
245|по|по|ПО|NOUN|228|16|3|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr||1.0|16
246|nrlpk|nrlpk|nrlpk|LATN|229|16|4|LATN|||||||||||||||||||2.0|13
247|nrlpk|natural russian language processing by the keys|Natural Russian Language Processing by the Keys|LATN|230|16|5|LATN|1.0||||||||||||||||||2.0|13
248|natural|natural|Natural|LATN|230|16|5|LATN||1.0|||||||||||||||||1.0|1
249|russian|russian|Russian|LATN|231|16|6|LATN||1.0|||||||||||||||||1.0|1
250|language|language|Language|LATN|232|16|7|LATN||1.0|||||||||||||||||1.0|1
251|processing|processing|Processing|LATN|233|16|8|LATN||1.0|||||||||||||||||1.0|1
252|by|by|by|LATN|234|16|9|LATN||1.0|||||||||||||||||1.0|1
253|the|the|the|LATN|235|16|10|LATN||1.0|||||||||||||||||1.0|1
254|keys|keys|Keys|LATN|236|16|11|LATN||1.0|||||||||||||||||1.0|1
255|подготавливаю|подготавливают|подготавливают|VERB|237|16|12||||||plur|||pres|tran||impf|3per|||indc||||1.0|1
256|данные|данные|данные|NOUN|238|16|13|||||nomn|plur||inan|||||||||Pltm|||1.0|8
257|для|для|для|GRND|239|16|14|BADW||||||||pres|tran||impf||||||||1.0|13
258|.|.|.|PNCT|240|16|15|PNCT|||||||||||||||||||1.0|103
260|анализ текста|анализ текст|анализа текстов|2GRM|241|17|1|nPNC|66.0||||||||||||||||||1.0|3
259|анализ|анализа|анализа|NOUN|241|17|1|||||gent|sing|masc|inan||||||||||||1.0|8
261|текст|текстов|текстов|NOUN|242|17|2|||||gent|plur|masc|inan||||||||||||1.0|30
262|неограниченный|неограниченного|неограниченного|ADJF|243|17|3|||||gent|sing|masc|||||||||||||1.0|1
263|круг|круга|круга|NOUN|244|17|4|||||gent|sing|masc|inan||||||||||||1.0|1
264|тематика|тематик|тематик|NOUN|245|17|5|||||gent|plur|femn|inan||||||||||||2.0|4
265|и|и|и|CONJ|246|17|6|BADW|||||||||||||||||||3.0|44
266|отрасль|отраслей|отраслей|NOUN|247|17|7|||||gent|plur|femn|inan||||||||||||1.0|2
267|,|,|,|PNCT|248|17|8|PNCT|||||||||||||||||||2.0|141
268|разработка|разработка|разработка|NOUN|249|17|9|||||nomn|sing|femn|inan||||||||||||1.0|1
269|и|и|и|CONJ|250|17|10|BADW|||||||||||||||||||3.0|44
270|тестирование|тестирование|тестирование|NOUN|251|17|11|||||nomn|sing|neut|inan|||||||||Sgtm|||1.0|8
271|провожусь|проводилось|проводилось|VERB|252|17|12||||||sing|neut||past|intr||impf||||indc||||1.0|1
272|по|по|по|NOUN|253|17|13|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr||1.0|16
273|материал|материалам|материалам|NOUN|254|17|14|||||datv|plur|masc|inan||||||||||||1.0|2
274|тематика|тематики|тематики|NOUN|255|17|15|||||nomn|plur|femn|inan||||||||||||2.0|4
275|промышленность|промышленности|промышленности|NOUN|256|17|16|||||datv|sing|femn|inan||||||||||||1.0|1
276|и|и|и|CONJ|257|17|17|BADW|||||||||||||||||||3.0|44
277|впк|впк|ВПК|NOUN|258|17|18|SPEC||||nomn|sing||anim||||||||||Name||2.0|3
278|,|,|,|PNCT|259|17|19|PNCT|||||||||||||||||||2.0|141
279|впк|военно-промышленного комплекса|Военно-Промышленного Комплекса|NAME|260|17|20|NAME|2.0||||||||||||||||||2.0|3
280|военно-промышленный|военно-промышленного|Военно-Промышленного|ADJF|260|17|20|TITL||2.0||gent|sing|masc|||||||||||||1.0|1
281|комплекс|комплекса|Комплекса|NOUN|261|17|21|SPEC||2.0||gent|sing|masc|inan||||||||||||1.0|1
282|.|.|.|PNCT|262|17|22|PNCT|||||||||||||||||||1.0|103
283|автоматический|автоматической|автоматической|ADJF|263|18|1|||||gent|sing|femn|||||||||||||1.0|3
284|рубрикация|рубрикации|рубрикации|NOUN|264|18|2|||||gent|sing|femn|inan||||||||||||1.0|1
285|,|,|,|PNCT|265|18|3|PNCT|||||||||||||||||||3.0|141
286|классификация|классификации|классификации|NOUN|266|18|4|||||gent|sing|femn|inan||||||||||||1.0|1
287|,|,|,|PNCT|267|18|5|PNCT|||||||||||||||||||3.0|141
288|каталогизация|каталогизации|каталогизации|NOUN|268|18|6|||||gent|sing|femn|inan||||||||||||1.0|1
