|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|yotoe|case|plural|gender|animacy|cattimes|transitiv|sectransitiv|aspect|pers|catcomp|catcollat|catmood|catplural|refn|secrefn|pw|f_text|f_sent
50|колесо|колёса|колёса|NOUN|49.0|4.0|7.0|||||nomn|plur|neut|inan|||||||||||||11|1.0
51|внутри|внутри|внутри|ADVB|50.0|4.0|8.0|BADW||||||||||||||||||||3|1.0
52|который|которых|которых|ADJF|51.0|4.0|9.0|BADW||||gent|plur||||||||||||Subx|Anph||5|1.0
53|спрятан|спрятаны|спрятаны|PRTS|52.0|4.0|10.0||||||plur|||past|||perf|||pssv||||||2|1.0
55|каток танка|каток танк|катки танка|2GRM|53.0|4.0|11.0|nPNC|139.0|||||||||||||||||||5|1.0
54|каток|катки|катки|NOUN|53.0|4.0|11.0|||||nomn|plur|masc|inan|||||||||||||16|1.0
56|от|от|от|PREP|54.0|4.0|12.0|BADW||||||||||||||||||||19|1.0
57|танк|танка|танка|NOUN|55.0|4.0|13.0|SPEC||||gent|sing|masc|inan|||||||||||||21|1.0
58|не|не|не|PRCL|56.0|4.0|14.0|||||||||||||||||||||40|3.0
59|только|только|только|ADVB|57.0|4.0|15.0|BADW||||||||||||||||||||3|1.0
60|уж|уже|уже|NOUN|58.0|4.0|16.0|BADW|||||sing|masc|anim|||||||||||||7|1.0
61|делаюсь|делаются|делаются|VERB|59.0|4.0|17.0||||||plur|||pres|intr||impf|3per|||indc|||||2|1.0
62|сериен|серийно|серийно|ADJS|60.0|4.0|18.0|BADW|||||sing|neut|||||||||||Qual|||2|1.0
63|,|,|,|PNCT|61.0|4.0|19.0|PNCT||||||||||||||||||||232|3.0
64|они|они|они|NPRO|62.0|4.0|20.0|BADW||||nomn|plur|||||||3per||||||Anph||8|1.0
65|вечный|вечные|вечные|ADJF|63.0|4.0|21.0|||||nomn|plur||||||||||||Qual|||4|1.0
66|,|,|,|PNCT|64.0|4.0|22.0|PNCT||||||||||||||||||||232|3.0
67|гусеница|гусеницу|гусеницу|NOUN|65.0|4.0|23.0|SPEC||||accs|sing|femn|anim|||||||||||||5|1.0
68|не|не|не|PRCL|66.0|4.0|24.0|||||||||||||||||||||40|3.0
69|сбить|сбить|сбить|INFN|67.0|4.0|25.0||||||||||||perf|||||||||2|1.0
70|,|,|,|PNCT|68.0|4.0|26.0|PNCT||||||||||||||||||||232|3.0
71|а|а|а|CONJ|69.0|4.0|27.0|BADW||||||||||||||||||||36|1.0
72|шина|шину|шину|NOUN|70.0|4.0|28.0|||||accs|sing|femn|inan|||||||||||||16|1.0
73|не|не|не|PRCL|71.0|4.0|29.0|||||||||||||||||||||40|3.0
74|сдуть|сдуть|сдуть|INFN|72.0|4.0|30.0||||||||||||perf|||||||||2|1.0
75|.|.|.|PNCT|73.0|4.0|31.0|PNCT||||||||||||||||||||157|1.0
76|при|при|При|PREP|74.0|5.0|1.0|BADW||||||||||||||||||||13|1.0
77|это|этом|этом|NPRO|75.0|5.0|2.0|BADW|||||sing|neut||||||||||||||55|1.0
78|удвоение|удвоение|удвоение|NOUN|76.0|5.0|3.0|||||nomn|sing|neut|inan|||||||||||||2|1.0
79|каток|катков|катков|NOUN|77.0|5.0|4.0|||||gent|plur|masc|inan|||||||||||||16|1.0
80|по|по|по|NOUN|78.0|5.0|5.0|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr|||39|1.0
81|ширин|ширине|ширине|NOUN|79.0|5.0|6.0||||||sing|masc|inan||||||||||Geox|||4|1.0
82|весьма|весьма|весьма|ADVB|80.0|5.0|7.0|BADW||||||||||||||||||||6|1.0
83|допустим|допустимо|допустимо|ADJS|81.0|5.0|8.0||||||sing|neut|||||||||||Qual|||2|1.0
84|б3ш|бмп-3 шире|БМП-3 шире|ABVR|82.0|5.0|9.0|ABVR|3.0|||||||||||||||||||1|1.0
85|бмп-3|бмп-3|БМП-3|DSNU|82.0|5.0|9.0|DSNU||3.0||||||||||||||||||4|1.0
86|шире|шире|шире|NOUN|83.0|5.0|10.0|||3.0||gent|sing|femn|inan|||||||||Fixd|Geox|||3|1.0
87|,|,|,|PNCT|84.0|5.0|11.0|PNCT||||||||||||||||||||232|1.0
88|а|а|а|CONJ|85.0|5.0|12.0|BADW||||||||||||||||||||36|1.0
90|давление грунта|давление грунт|давление грунт|2GRM|86.0|5.0|13.0|nPNC|144.0|||||||||||||||||||4|1.0
89|давление|давление|давление|NOUN|86.0|5.0|13.0|||||nomn|sing|neut|inan|||||||||||||4|1.0
91|на|на|на|INTJ|87.0|5.0|14.0|BADW||||||||||||||||||||65|1.0
92|грунт|грунт|грунт|NOUN|88.0|5.0|15.0|||||nomn|sing|masc|inan|||||||||||||4|1.0
93|падаю|падает|падает|VERB|89.0|5.0|16.0||||||sing|||pres|intr||impf|3per|||indc|||||3|1.0
94|до|до|до|PREP|90.0|5.0|17.0|BADW||||||||||||||||||||12|1.0
95|низкий|низкого|низкого|ADJF|91.0|5.0|18.0|||||gent|sing|masc|||||||||||Qual|||2|1.0
96|.|.|.|PNCT|92.0|5.0|19.0|PNCT||||||||||||||||||||157|1.0
97|руление|руление|Руление|NOUN|93.0|6.0|1.0|||||nomn|sing|neut|inan|||||||||||||3|1.0
98|через|через|через|PREP|94.0|6.0|2.0|BADW||||||||||||||||||||4|1.0
99|отключение|отключение|отключение|NOUN|95.0|6.0|3.0|||||nomn|sing|neut|inan|||||||||||||2|1.0
100|привод|привода|привода|NOUN|96.0|6.0|4.0|||||gent|sing|masc|inan|||||||||||||4|1.0
101|побортен|побортно|побортно|ADJS|97.0|6.0|5.0||||||sing|neut|||||||||||Qual||по|2|1.0
102|.|.|.|PNCT|98.0|6.0|6.0|PNCT||||||||||||||||||||157|1.0
103|на|на|На|INTJ|99.0|7.0|1.0|BADW||||||||||||||||||||65|1.0
104|версия|версию|версию|NOUN|100.0|7.0|2.0|||||accs|sing|femn|inan|||||||||||||1|1.0
105|25т и 15 чел|в 25т и 15 чел|в 25т и 15 чел|NUSR|101.0|7.0|3.0|NUSR|4.0|||||||||||||||||||1|1.0
106|в|в|в|NOUN|101.0|7.0|3.0|BADW||4.0||nomn|sing|masc|inan|||||||||Fixd|Abbr|||87|3.0
107|25т|25т|25т|NUSR|102.0|7.0|4.0|NUSR||4.0||||||||||||||||||5|1.0
108|и|и|и|CONJ|103.0|7.0|5.0|BADW||4.0||||||||||||||||||104|4.0
109|15|15|15|NUMB|104.0|7.0|6.0|NUMB||4.0||||||||||||||||||6|1.0
110|чело|чел|чел|NOUN|105.0|7.0|7.0|||4.0|1.0|gent|plur|neut|inan|||||||||||||2|1.0
111|,|,|,|PNCT|106.0|7.0|8.0|PNCT||||||||||||||||||||232|7.0
112|выслал|вышли|вышли|VERB|107.0|7.0|9.0||||||sing||||tran||perf||excl||impr|||||1|1.0
114|крыша дна|крыша дно|крыша дно|2GRM|108.0|7.0|10.0|nPNC|148.0|||||||||||||||||||3|1.0
113|крыша|крыша|крыша|NOUN|108.0|7.0|10.0|||||nomn|sing|femn|inan|||||||||||||11|1.0
115|и|и|и|CONJ|109.0|7.0|11.0|BADW||||||||||||||||||||104|4.0
116|дно|дно|дно|NOUN|110.0|7.0|12.0|||||nomn|sing|neut|inan|||||||||||||5|1.0
117|27 мм|по 27 мм|по 27 мм|NUSR|111.0|7.0|13.0|NUSR|5.0|||||||||||||||||||1|1.0
118|по|по|по|NOUN|111.0|7.0|13.0|BADW||5.0||nomn|sing|neut|inan|||||||||Fixd|Abbr|||39|3.0
119|27|27|27|NUMB|112.0|7.0|14.0|NUMB||5.0||||||||||||||||||1|1.0
120|мм|мм|мм|INTJ|113.0|7.0|15.0|BADW||5.0||||||||||||||||||12|2.0
122|броня борта|броня борт|брони борта|2GRM|114.0|7.0|16.0|nPNC|151.0|||||||||||||||||||4|2.0
121|броня|брони|брони|NOUN|114.0|7.0|16.0|SPEC||||nomn|plur|femn|inan|||||||||||||27|3.0
123|,|,|,|PNCT|115.0|7.0|17.0|PNCT||||||||||||||||||||232|7.0
125|броня борта|борт броня|борта брони|2GRM|116.0|7.0|18.0|nPNC|152.0|||||||||||||||||||4|2.0
124|борт|борта|борта|NOUN|116.0|7.0|18.0|||||nomn|plur|masc|inan|||||||||||||11|1.0
126|40 мм|по 40 мм|по 40 мм|NUSR|117.0|7.0|19.0|NUSR|6.0|||||||||||||||||||4|1.0
127|по|по|по|NOUN|117.0|7.0|19.0|BADW||6.0||nomn|sing|neut|inan|||||||||Fixd|Abbr|||39|3.0
128|40|40|40|NUMB|118.0|7.0|20.0|NUMB||6.0||||||||||||||||||8|1.0
129|мм|мм|мм|INTJ|119.0|7.0|21.0|BADW||6.0||||||||||||||||||12|2.0
130|,|,|,|PNCT|120.0|7.0|22.0|PNCT||||||||||||||||||||232|7.0
131|тут|тут|тут|ADVB|121.0|7.0|23.0|BADW||||||||||||||||||||10|1.0
133|броня массы|броня масса|брони массе|2GRM|122.0|7.0|24.0|nPNC|155.0|||||||||||||||||||3|1.0
132|броня|брони|брони|NOUN|122.0|7.0|24.0|SPEC||||nomn|plur|femn|inan|||||||||||||27|3.0
134|как|как|как|ADVB|123.0|7.0|25.0|BADW||||||||||||||||||||21|2.0
135|бы|бы|бы|PRCL|124.0|7.0|26.0|BADW||||||||||||||||||||2|1.0
136|3 раза|в 3 раза|в 3 раза|NUSR|125.0|7.0|27.0|NUSR|7.0|||||||||||||||||||3|1.0
137|в|в|в|NOUN|125.0|7.0|27.0|BADW||7.0||nomn|sing|masc|inan|||||||||Fixd|Abbr|||87|3.0
138|3|3|3|NUMB|126.0|7.0|28.0|NUMB||7.0||||||||||||||||||6|1.0
139|раз|раза|раза|NOUN|127.0|7.0|29.0|BADW||7.0||gen1|sing|masc|inan|||||||||||||12|1.0
140|больше|больше|больше|ADVB|128.0|7.0|30.0|BADW||||||||||||||||||||4|1.0
141|по|по|по|NOUN|129.0|7.0|31.0|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr|||39|3.0
142|масса|массе|массе|NOUN|130.0|7.0|32.0|||||datv|sing|femn|inan|||||||||||||12|1.0
143|,|,|,|PNCT|131.0|7.0|33.0|PNCT||||||||||||||||||||232|7.0
144|а|а|а|CONJ|132.0|7.0|34.0|BADW||||||||||||||||||||36|2.0
145|ещё|ещё|ещё|ADVB|133.0|7.0|35.0|BADW||||||||||||||||||||17|3.0
146|можно|можно|можно|PRED|134.0|7.0|36.0|BADW||||||||||||||||||||24|1.0
147|применить|применить|применить|INFN|135.0|7.0|37.0||||||||||||perf|||||||||3|1.0
148|свшп|свшп|СВШП|NOUN|136.0|7.0|38.0|ABVR|||||sing||inan|||||||||Fixd|Abbr|||3|1.0
149|как|как|как|ADVB|137.0|7.0|39.0|BADW||||||||||||||||||||21|2.0
150|сталь|сталь|сталь|NOUN|138.0|7.0|40.0|||||nomn|sing|femn|inan|||||||||||||3|1.0
151|и|и|и|CONJ|139.0|7.0|41.0|BADW||||||||||||||||||||104|4.0
152|тем|тем|тем|CONJ|140.0|7.0|42.0|BADW||||||||||||||||||||3|1.0
153|получить|получить|получить|INFN|141.0|7.0|43.0||||||||||||perf|||||||||1|1.0
154|ещё|ещё|ещё|ADVB|142.0|7.0|44.0|BADW||||||||||||||||||||17|3.0
155|15%|15%|15%|NUSR|143.0|7.0|45.0|NUSR||||||||||||||||||||4|1.0
156|а|а|а|CONJ|144.0|7.0|46.0|BADW||||||||||||||||||||36|2.0
157|,|,|,|PNCT|145.0|7.0|47.0|PNCT||||||||||||||||||||232|7.0
158|тонкий|тонкие|тонкие|ADJF|146.0|7.0|48.0|||||accs|plur||inan||||||||||Qual|||1|1.0
159|чащу|части|части|VERB|147.0|7.0|49.0||||||sing||||intr||impf||excl||impr|||||3|1.0
160|в|в|в|NOUN|148.0|7.0|50.0|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr|||87|3.0
161|вид|виде|виде|NOUN|149.0|7.0|51.0|||||loc1|sing|masc|inan|||||||||||||4|1.0
162|накладка|накладок|накладок|NOUN|150.0|7.0|52.0|||||gent|plur|femn|inan|||||||||||||1|1.0
163|сделать|сделать|сделать|INFN|151.0|7.0|53.0||||||||||||perf|||||||||6|1.0
164|из|из|из|PREP|152.0|7.0|54.0|BADW||||||||||||||||||||8|1.0
165|титан|титана|титана|NOUN|153.0|7.0|55.0|||||gent|sing|masc|inan|||||||||||||3|2.0
166|,|,|,|PNCT|154.0|7.0|56.0|PNCT||||||||||||||||||||232|7.0
167|ещё|ещё|ещё|ADVB|155.0|7.0|57.0|BADW||||||||||||||||||||17|3.0
168|10%|10%|10%|NUSR|156.0|7.0|58.0|NUSR||||||||||||||||||||2|1.0
169|и|и|и|CONJ|157.0|7.0|59.0|BADW||||||||||||||||||||104|4.0
170|более|более|более|ADVB|158.0|7.0|60.0|BADW||||||||||||||||||||5|1.0
171|,|,|,|PNCT|159.0|7.0|61.0|PNCT||||||||||||||||||||232|7.0
172|причём|причём|причём|CONJ|160.0|7.0|62.0|BADW||||||||||||||||||||3|1.0
173|титан|титан|титан|NOUN|161.0|7.0|63.0|||||nomn|sing|masc|inan|||||||||||||3|2.0
174|за|за|за|PREP|162.0|7.0|64.0|BADW||||||||||||||||||||5|1.0
175|лист|лист|лист|NOUN|163.0|7.0|65.0|||||nomn|sing|masc|inan|||||||||||||4|1.0
176|дешевее|дешевле|дешевле|COMP|164.0|7.0|66.0|||||||||||||||||||||3|1.0
177|листовой|листовой|листовой|ADJF|165.0|7.0|67.0|||||nomn|sing|masc||||||||||||||3|1.0
178|качественный|качественной|качественной|ADJF|166.0|7.0|68.0|||||gent|sing|femn|||||||||||Qual|||1|1.0
179|броня|брони|брони|NOUN|167.0|7.0|69.0|SPEC||||gent|sing|femn|anim||||||||||Name|||27|3.0
180|.|.|.|PNCT|168.0|7.0|70.0|PNCT||||||||||||||||||||157|1.0
181|спойлер|спойлер|Спойлер|NOUN|169.0|8.0|1.0|||||nomn|sing|masc|inan|||||||||||||1|1.0
182|,|,|,|PNCT|170.0|8.0|2.0|PNCT||||||||||||||||||||232|2.0
183|до|до|до|PREP|171.0|8.0|3.0|BADW||||||||||||||||||||12|1.0
184|это|этого|этого|NPRO|172.0|8.0|4.0|BADW||||gent|sing|neut||||||||||||||55|1.0
185|не|не|не|PRCL|173.0|8.0|5.0|||||||||||||||||||||40|1.0
186|дошёл|дошло|дошло|VERB|174.0|8.0|6.0||||||sing|neut||past|intr||perf||||indc|||||1|1.0
187|,|,|,|PNCT|175.0|8.0|7.0|PNCT||||||||||||||||||||232|2.0
188|но|но|но|CONJ|176.0|8.0|8.0|BADW||||||||||||||||||||13|1.0
189|весь|всё|всё|ADJF|177.0|8.0|9.0|BADW||||nomn|sing|neut|||||||||||Apro|||24|1.0
190|поехал|поехало|поехало|VERB|178.0|8.0|10.0||||||sing|neut||past|intr||perf||||indc|||||1|1.0
191|.|.|.|PNCT|179.0|8.0|11.0|PNCT||||||||||||||||||||157|1.0
192|кто|кому|Кому|NPRO|180.0|9.0|1.0|BADW||||datv|sing|masc||||||||||||||3|1.0
193|ком|кому|Кому|NOUN|180.0|9.0|1.0|||||datv|sing|masc|inan|||||||||||||1|1.0
194|скучен|скучно|скучно|ADJS|181.0|9.0|2.0|BADW|||||sing|neut|||||||||||Qual|||1|1.0
195|подтверждение|подтверждение|подтверждение|NOUN|182.0|9.0|3.0|||||nomn|sing|neut|inan|||||||||||||3|1.0
196|ходовой|ходовой|ходовой|ADJF|183.0|9.0|4.0|||||nomn|sing|masc||||||||||||||17|1.0
197|читать|читать|читать|INFN|184.0|9.0|5.0||||||||||||impf|||||||||1|1.0
198|,|,|,|PNCT|185.0|9.0|6.0|PNCT||||||||||||||||||||232|1.0
199|могу|можете|можете|VERB|186.0|9.0|7.0|BADW|||||plur|||pres|intr||impf|2per|||indc|||||6|1.0
200|сразу|сразу|сразу|ADVB|187.0|9.0|8.0|BADW||||||||||||||||||||2|1.0
201|листать|листать|листать|INFN|188.0|9.0|9.0||||||||||||impf|||||||||1|1.0
202|на|на|на|INTJ|189.0|9.0|10.0|BADW||||||||||||||||||||65|1.0
203|глава|главу|главу|NOUN|190.0|9.0|11.0|||||accs|sing|ms-f|anim|||||||||||||3|1.0
204|2|2|2|NUMB|191.0|9.0|12.0|NUMB||||||||||||||||||||14|1.0
205|.|.|.|PNCT|192.0|9.0|13.0|PNCT||||||||||||||||||||157|1.0
206|ходовой|ходовая|Ходовая|ADJF|193.0|10.0|1.0|||||nomn|sing|femn||||||||||||||17|1.0
207|в|в|в|NOUN|194.0|10.0|2.0|BADW||||nomn|sing|masc|inan|||||||||Fixd|Abbr|||87|1.0
208|вид|виде|виде|NOUN|195.0|10.0|3.0|||||loc1|sing|masc|inan|||||||||||||4|1.0
209|полный|полного|полного|ADJF|196.0|10.0|4.0|||||gent|sing|masc|||||||||||Qual|||9|1.0
210|привод|привода|привода|NOUN|197.0|10.0|5.0|||||gent|sing|masc|inan|||||||||||||4|1.0
211|на|на|на|INTJ|198.0|10.0|6.0|BADW||||||||||||||||||||65|1.0
212|колесо|колёса|колёса|NOUN|199.0|10.0|7.0|||||nomn|plur|neut|inan|||||||||||||11|1.0
213|внутри|внутри|внутри|ADVB|200.0|10.0|8.0|BADW||||||||||||||||||||3|1.0
214|который|которых|которых|ADJF|201.0|10.0|9.0|BADW||||gent|plur||||||||||||Subx|Anph||5|1.0
215|спрятан|спрятаны|спрятаны|PRTS|202.0|10.0|10.0||||||plur|||past|||perf|||pssv||||||2|1.0
217|каток танка|каток танк|катки танка|2GRM|203.0|10.0|11.0|nPNC|140.0|||||||||||||||||||5|1.0
216|каток|катки|катки|NOUN|203.0|10.0|11.0|||||nomn|plur|masc|inan|||||||||||||16|1.0
218|от|от|от|PREP|204.0|10.0|12.0|BADW||||||||||||||||||||19|1.0
219|танк|танка|танка|NOUN|205.0|10.0|13.0|SPEC||||gent|sing|masc|inan|||||||||||||21|1.0
220|не|не|не|PRCL|206.0|10.0|14.0|||||||||||||||||||||40|3.0
221|только|только|только|ADVB|207.0|10.0|15.0|BADW||||||||||||||||||||3|1.0
222|уж|уже|уже|NOUN|208.0|10.0|16.0|BADW|||||sing|masc|anim|||||||||||||7|1.0
223|делаюсь|делаются|делаются|VERB|209.0|10.0|17.0||||||plur|||pres|intr||impf|3per|||indc|||||2|1.0
224|сериен|серийно|серийно|ADJS|210.0|10.0|18.0|BADW|||||sing|neut|||||||||||Qual|||2|1.0
225|,|,|,|PNCT|211.0|10.0|19.0|PNCT||||||||||||||||||||232|3.0
226|они|они|они|NPRO|212.0|10.0|20.0|BADW||||nomn|plur|||||||3per||||||Anph||8|1.0
227|вечный|вечные|вечные|ADJF|213.0|10.0|21.0|||||nomn|plur||||||||||||Qual|||4|1.0
228|,|,|,|PNCT|214.0|10.0|22.0|PNCT||||||||||||||||||||232|3.0
229|гусеница|гусеницу|гусеницу|NOUN|215.0|10.0|23.0|SPEC||||accs|sing|femn|anim|||||||||||||5|1.0
230|не|не|не|PRCL|216.0|10.0|24.0|||||||||||||||||||||40|3.0
231|сбить|сбить|сбить|INFN|217.0|10.0|25.0||||||||||||perf|||||||||2|1.0
232|,|,|,|PNCT|218.0|10.0|26.0|PNCT||||||||||||||||||||232|3.0
233|а|а|а|CONJ|219.0|10.0|27.0|BADW||||||||||||||||||||36|1.0
234|шина|шину|шину|NOUN|220.0|10.0|28.0|||||accs|sing|femn|inan|||||||||||||16|1.0
235|не|не|не|PRCL|221.0|10.0|29.0|||||||||||||||||||||40|3.0
236|сдуть|сдуть|сдуть|INFN|222.0|10.0|30.0||||||||||||perf|||||||||2|1.0
237|.|.|.|PNCT|223.0|10.0|31.0|PNCT||||||||||||||||||||157|1.0
238|при|при|При|PREP|224.0|11.0|1.0|BADW||||||||||||||||||||13|1.0
239|это|этом|этом|NPRO|225.0|11.0|2.0|BADW|||||sing|neut||||||||||||||55|1.0
240|удвоение|удвоение|удвоение|NOUN|226.0|11.0|3.0|||||nomn|sing|neut|inan|||||||||||||2|1.0
241|каток|катков|катков|NOUN|227.0|11.0|4.0|||||gent|plur|masc|inan|||||||||||||16|1.0
242|по|по|по|NOUN|228.0|11.0|5.0|BADW||||nomn|sing|neut|inan|||||||||Fixd|Abbr|||39|1.0
243|ширин|ширине|ширине|NOUN|229.0|11.0|6.0||||||sing|masc|inan||||||||||Geox|||4|1.0
244|весьма|весьма|весьма|ADVB|230.0|11.0|7.0|BADW||||||||||||||||||||6|1.0
245|допустим|допустимо|допустимо|ADJS|231.0|11.0|8.0||||||sing|neut|||||||||||Qual|||2|1.0
246|бш|бмп3 шире|БМП3 шире|ABVR|232.0|11.0|9.0|oPNC|8.0|||||||||||||||||||1|1.0
247|бмп3|бмп3|БМП3|DSNU|232.0|11.0|9.0|DSNU||8.0||||||||||||||||||1|1.0
248|шире|шире|шире|NOUN|233.0|11.0|10.0|||8.0||gent|sing|femn|inan|||||||||Fixd|Geox|||3|1.0
249|,|,|,|PNCT|234.0|11.0|11.0|PNCT||||||||||||||||||||232|1.0
250|а|а|а|CONJ|235.0|11.0|12.0|BADW||||||||||||||||||||36|1.0
252|давление грунта|давление грунт|давление грунт|2GRM|236.0|11.0|13.0|nPNC|145.0|||||||||||||||||||4|1.0
251|давление|давление|давление|NOUN|236.0|11.0|13.0|||||nomn|sing|neut|inan|||||||||||||4|1.0
253|на|на|на|INTJ|237.0|11.0|14.0|BADW||||||||||||||||||||65|1.0
254|грунт|грунт|грунт|NOUN|238.0|11.0|15.0|||||nomn|sing|masc|inan|||||||||||||4|1.0
255|падаю|падает|падает|VERB|239.0|11.0|16.0||||||sing|||pres|intr||impf|3per|||indc|||||3|1.0
256|до|до|до|PREP|240.0|11.0|17.0|BADW||||||||||||||||||||12|1.0
257|низкий|низкого|низкого|ADJF|241.0|11.0|18.0|||||gent|sing|masc|||||||||||Qual|||2|1.0
258|.|.|.|PNCT|242.0|11.0|19.0|PNCT||||||||||||||||||||157|1.0
259|руление|руление|Руление|NOUN|243.0|12.0|1.0|||||nomn|sing|neut|inan|||||||||||||3|1.0
